"Plot Title: AE10-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995231, SEN S/N: 9995231)","Intensity, Lux (LGR S/N: 9995231, SEN S/N: 9995231)","Bad Battery (LGR S/N: 9995231)","Coupler Attached (LGR S/N: 9995231)","Host Connected (LGR S/N: 9995231)","Stopped (LGR S/N: 9995231)","End Of File (LGR S/N: 9995231)"
100,09/17/18 10:00:00 PM,5.860,0.0,,,,,
101,09/18/18 01:00:00 AM,4.727,0.0,,,,,
102,09/18/18 04:00:00 AM,3.367,0.0,,,,,
103,09/18/18 07:00:00 AM,2.943,64.6,,,,,
104,09/18/18 10:00:00 AM,6.268,2325.0,,,,,
105,09/18/18 01:00:00 PM,11.139,60622.6,,,,,
106,09/18/18 04:00:00 PM,9.768,1894.5,,,,,
107,09/18/18 07:00:00 PM,7.782,64.6,,,,,
108,09/18/18 10:00:00 PM,6.978,0.0,,,,,
109,09/19/18 01:00:00 AM,6.268,0.0,,,,,
110,09/19/18 04:00:00 AM,5.552,0.0,,,,,
111,09/19/18 07:00:00 AM,4.831,32.3,,,,,
112,09/19/18 10:00:00 AM,6.775,2411.1,,,,,
113,09/19/18 01:00:00 PM,10.161,4994.5,,,,,
114,09/19/18 04:00:00 PM,8.978,1808.3,,,,,
115,09/19/18 07:00:00 PM,6.268,43.1,,,,,
116,09/19/18 10:00:00 PM,5.244,0.0,,,,,
117,09/20/18 01:00:00 AM,4.831,0.0,,,,,
118,09/20/18 04:00:00 AM,3.578,0.0,,,,,
119,09/20/18 07:00:00 AM,3.367,10.8,,,,,
120,09/20/18 10:00:00 AM,5.552,5166.7,,,,,
121,09/20/18 01:00:00 PM,7.983,6544.5,,,,,
122,09/20/18 04:00:00 PM,8.879,2583.4,,,,,
123,09/20/18 07:00:00 PM,7.179,10.8,,,,,
124,09/20/18 10:00:00 PM,6.471,0.0,,,,,
125,09/21/18 01:00:00 AM,6.471,0.0,,,,,
126,09/21/18 04:00:00 AM,5.655,0.0,,,,,
127,09/21/18 07:00:00 AM,6.166,75.3,,,,,
128,09/21/18 10:00:00 AM,8.978,3444.5,,,,,
129,09/21/18 01:00:00 PM,12.594,11022.3,,,,,
130,09/21/18 04:00:00 PM,11.916,1636.1,,,,,
131,09/21/18 07:00:00 PM,10.259,43.1,,,,,
132,09/21/18 10:00:00 PM,9.077,0.0,,,,,
133,09/22/18 01:00:00 AM,8.182,0.0,,,,,
134,09/22/18 04:00:00 AM,6.370,0.0,,,,,
135,09/22/18 07:00:00 AM,6.166,0.0,,,,,
136,09/22/18 10:00:00 AM,6.775,1636.1,,,,,
137,09/22/18 01:00:00 PM,7.381,2497.2,,,,,
138,09/22/18 04:00:00 PM,7.179,1227.1,,,,,
139,09/22/18 07:00:00 PM,5.450,0.0,,,,,
140,09/22/18 10:00:00 PM,3.893,0.0,,,,,
141,09/23/18 01:00:00 AM,2.088,0.0,,,,,
142,09/23/18 04:00:00 AM,1.003,0.0,,,,,
143,09/23/18 07:00:00 AM,0.563,43.1,,,,,
144,09/23/18 10:00:00 AM,1.764,2411.1,,,,,
145,09/23/18 01:00:00 PM,4.311,3444.5,,,,,
146,09/23/18 04:00:00 PM,4.519,2583.4,,,,,
147,09/23/18 07:00:00 PM,4.102,21.5,,,,,
148,09/23/18 10:00:00 PM,3.155,0.0,,,,,
149,09/24/18 01:00:00 AM,1.872,0.0,,,,,
150,09/24/18 04:00:00 AM,1.764,0.0,,,,,
151,09/24/18 07:00:00 AM,1.656,32.3,,,,,
152,09/24/18 10:00:00 AM,3.788,2411.1,,,,,
153,09/24/18 01:00:00 PM,9.472,5166.7,,,,,
154,09/24/18 04:00:00 PM,9.373,1636.1,,,,,
155,09/24/18 07:00:00 PM,7.381,21.5,,,,,
156,09/24/18 10:00:00 PM,6.471,0.0,,,,,
157,09/25/18 01:00:00 AM,6.064,0.0,,,,,
158,09/25/18 04:00:00 AM,5.244,0.0,,,,,
159,09/25/18 07:00:00 AM,5.244,21.5,,,,,
160,09/25/18 10:00:00 AM,8.182,2583.4,,,,,
161,09/25/18 01:00:00 PM,12.980,5511.1,,,,,
162,09/25/18 04:00:00 PM,12.013,1636.1,,,,,
163,09/25/18 07:00:00 PM,9.768,21.5,,,,,
164,09/25/18 10:00:00 PM,8.581,0.0,,,,,
165,09/26/18 01:00:00 AM,8.481,0.0,,,,,
166,09/26/18 04:00:00 AM,8.581,0.0,,,,,
167,09/26/18 07:00:00 AM,8.481,10.8,,,,,
168,09/26/18 10:00:00 AM,11.139,2238.9,,,,,
169,09/26/18 01:00:00 PM,15.855,5511.1,,,,,
170,09/26/18 04:00:00 PM,14.709,2411.1,,,,,
171,09/26/18 07:00:00 PM,12.497,21.5,,,,,
172,09/26/18 10:00:00 PM,11.819,0.0,,,,,
173,09/27/18 01:00:00 AM,11.528,0.0,,,,,
174,09/27/18 04:00:00 AM,11.722,0.0,,,,,
175,09/27/18 07:00:00 AM,12.110,10.8,,,,,
176,09/27/18 10:00:00 AM,14.709,2238.9,,,,,
177,09/27/18 01:00:00 PM,20.519,34444.7,,,,,
178,09/27/18 04:00:00 PM,17.189,3788.9,,,,,
179,09/27/18 07:00:00 PM,14.230,10.8,,,,,
180,09/27/18 10:00:00 PM,12.401,0.0,,,,,
181,09/28/18 01:00:00 AM,10.748,0.0,,,,,
182,09/28/18 04:00:00 AM,10.161,0.0,,,,,
183,09/28/18 07:00:00 AM,9.373,21.5,,,,,
184,09/28/18 10:00:00 AM,11.722,2238.9,,,,,
185,09/28/18 01:00:00 PM,18.045,30311.3,,,,,
186,09/28/18 04:00:00 PM,16.141,5511.1,,,,,
187,09/28/18 07:00:00 PM,13.076,10.8,,,,,
188,09/28/18 10:00:00 PM,11.334,0.0,,,,,
189,09/29/18 01:00:00 AM,10.161,0.0,,,,,
190,09/29/18 04:00:00 AM,9.077,0.0,,,,,
191,09/29/18 07:00:00 AM,8.182,10.8,,,,,
192,09/29/18 10:00:00 AM,10.553,2755.6,,,,,
193,09/29/18 01:00:00 PM,12.883,4650.0,,,,,
194,09/29/18 04:00:00 PM,13.076,4305.6,,,,,
195,09/29/18 07:00:00 PM,9.866,0.0,,,,,
196,09/29/18 10:00:00 PM,8.282,0.0,,,,,
197,09/30/18 01:00:00 AM,5.962,0.0,,,,,
198,09/30/18 04:00:00 AM,5.757,0.0,,,,,
199,09/30/18 07:00:00 AM,5.347,10.8,,,,,
200,09/30/18 10:00:00 AM,7.481,613.5,,,,,
201,09/30/18 01:00:00 PM,8.082,1173.3,,,,,
202,09/30/18 04:00:00 PM,7.682,2066.7,,,,,
203,09/30/18 07:00:00 PM,6.978,0.0,,,,,
204,09/30/18 10:00:00 PM,6.573,0.0,,,,,
205,10/01/18 01:00:00 AM,6.573,0.0,,,,,
206,10/01/18 04:00:00 AM,6.370,0.0,,,,,
207,10/01/18 07:00:00 AM,6.166,0.0,,,,,
208,10/01/18 10:00:00 AM,6.877,1130.2,,,,,
209,10/01/18 01:00:00 PM,7.983,1550.0,,,,,
210,10/01/18 04:00:00 PM,8.382,1324.0,,,,,
211,10/01/18 07:00:00 PM,7.782,0.0,,,,,
212,10/01/18 10:00:00 PM,7.582,0.0,,,,,
