"Plot Title: AB08-S6"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578616, SEN S/N: 10578616)","Intensity, Lux (LGR S/N: 10578616, SEN S/N: 10578616)","Coupler Detached (LGR S/N: 10578616)","Coupler Attached (LGR S/N: 10578616)","Host Connected (LGR S/N: 10578616)","Stopped (LGR S/N: 10578616)","End Of File (LGR S/N: 10578616)"
100,09/28/14 03:40:57 PM,14.230,1141.0,,,,,
101,09/28/14 06:40:57 PM,12.787,10.8,,,,,
102,09/28/14 09:40:57 PM,10.259,0.0,,,,,
103,09/29/14 12:40:57 AM,9.176,0.0,,,,,
104,09/29/14 03:40:57 AM,8.282,0.0,,,,,
105,09/29/14 06:40:57 AM,7.782,0.0,,,,,
106,09/29/14 09:40:57 AM,9.768,893.4,,,,,
107,09/29/14 12:40:57 PM,12.883,1808.3,,,,,
108,09/29/14 03:40:57 PM,11.528,419.8,,,,,
109,09/29/14 06:40:57 PM,10.748,21.5,,,,,
110,09/29/14 09:40:57 PM,8.581,0.0,,,,,
111,09/30/14 12:40:57 AM,6.471,0.0,,,,,
112,09/30/14 03:40:57 AM,6.471,0.0,,,,,
113,09/30/14 06:40:57 AM,6.573,0.0,,,,,
114,09/30/14 09:40:57 AM,7.582,645.8,,,,,
115,09/30/14 12:40:57 PM,8.581,1054.9,,,,,
116,09/30/14 03:40:57 PM,8.779,505.9,,,,,
117,09/30/14 06:40:57 PM,7.983,0.0,,,,,
118,09/30/14 09:40:57 PM,7.079,0.0,,,,,
119,10/01/14 12:40:57 AM,6.978,0.0,,,,,
120,10/01/14 03:40:57 AM,5.757,0.0,,,,,
121,10/01/14 06:40:57 AM,5.860,0.0,,,,,
122,10/01/14 09:40:57 AM,6.978,699.7,,,,,
123,10/01/14 12:40:57 PM,8.382,1033.3,,,,,
124,10/01/14 03:40:57 PM,9.571,1259.4,,,,,
125,10/01/14 06:40:57 PM,8.779,0.0,,,,,
126,10/01/14 09:40:57 PM,7.381,0.0,,,,,
127,10/02/14 12:40:57 AM,6.674,0.0,,,,,
128,10/02/14 03:40:57 AM,5.141,0.0,,,,,
129,10/02/14 06:40:57 AM,3.998,0.0,,,,,
130,10/02/14 09:40:57 AM,4.415,75.3,,,,,
131,10/02/14 12:40:57 PM,7.481,861.1,,,,,
132,10/02/14 03:40:57 PM,10.161,1194.8,,,,,
133,10/02/14 06:40:57 PM,8.581,0.0,,,,,
134,10/02/14 09:40:57 PM,6.877,0.0,,,,,
135,10/03/14 12:40:57 AM,6.674,0.0,,,,,
136,10/03/14 03:40:57 AM,6.978,0.0,,,,,
137,10/03/14 06:40:57 AM,7.280,0.0,,,,,
