"Plot Title: TB13-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163334, SEN S/N: 10163334)","Intensity, lum/ft² (LGR S/N: 10163334, SEN S/N: 10163334)","Coupler Attached (LGR S/N: 10163334)","Host Connected (LGR S/N: 10163334)","Stopped (LGR S/N: 10163334)","End Of File (LGR S/N: 10163334)"
1,09/10/14 01:00:00 PM,20.138,176.0,,,,
2,09/10/14 04:00:00 PM,15.951,33.0,,,,
3,09/10/14 07:00:00 PM,14.517,1.0,,,,
4,09/10/14 10:00:00 PM,11.916,0.0,,,,
5,09/11/14 01:00:00 AM,11.722,0.0,,,,
6,09/11/14 04:00:00 AM,10.357,0.0,,,,
7,09/11/14 07:00:00 AM,8.978,0.0,,,,
8,09/11/14 10:00:00 AM,9.866,21.0,,,,
9,09/11/14 01:00:00 PM,18.236,272.0,,,,
10,09/11/14 04:00:00 PM,16.141,35.0,,,,
11,09/11/14 07:00:00 PM,14.421,2.0,,,,
12,09/11/14 10:00:00 PM,12.110,0.0,,,,
13,09/12/14 01:00:00 AM,11.916,0.0,,,,
14,09/12/14 04:00:00 AM,11.819,0.0,,,,
15,09/12/14 07:00:00 AM,10.553,0.0,,,,
16,09/12/14 10:00:00 AM,12.497,20.0,,,,
17,09/12/14 01:00:00 PM,23.966,352.0,,,,
18,09/12/14 04:00:00 PM,19.472,33.0,,,,
19,09/12/14 07:00:00 PM,17.094,1.0,,,,
20,09/12/14 10:00:00 PM,13.461,0.0,,,,
21,09/13/14 01:00:00 AM,13.365,0.0,,,,
22,09/13/14 04:00:00 AM,14.230,0.0,,,,
23,09/13/14 07:00:00 AM,14.038,0.0,,,,
24,09/13/14 10:00:00 AM,15.378,22.0,,,,
25,09/13/14 01:00:00 PM,30.356,800.0,,,,
26,09/13/14 04:00:00 PM,21.282,34.0,,,,
27,09/13/14 07:00:00 PM,18.236,1.0,,,,
28,09/13/14 10:00:00 PM,14.804,0.0,,,,
29,09/14/14 01:00:00 AM,13.942,0.0,,,,
30,09/14/14 04:00:00 AM,12.690,0.0,,,,
31,09/14/14 07:00:00 AM,12.013,0.0,,,,
32,09/14/14 10:00:00 AM,14.900,22.0,,,,
33,09/14/14 01:00:00 PM,39.843,1728.0,,,,
34,09/14/14 04:00:00 PM,22.908,35.0,,,,
35,09/14/14 07:00:00 PM,19.567,1.0,,,,
36,09/14/14 10:00:00 PM,16.713,0.0,,,,
37,09/15/14 01:00:00 AM,14.996,0.0,,,,
38,09/15/14 04:00:00 AM,14.230,0.0,,,,
39,09/15/14 07:00:00 AM,14.421,0.0,,,,
40,09/15/14 10:00:00 AM,17.189,26.0,,,,
41,09/15/14 01:00:00 PM,44.211,2432.0,,,,
42,09/15/14 04:00:00 PM,25.125,37.0,,,,
43,09/15/14 07:00:00 PM,21.473,1.0,,,,
44,09/15/14 10:00:00 PM,18.426,0.0,,,,
45,09/16/14 01:00:00 AM,17.094,0.0,,,,
46,09/16/14 04:00:00 AM,16.808,0.0,,,,
47,09/16/14 07:00:00 AM,14.804,0.0,,,,
48,09/16/14 10:00:00 AM,15.664,20.0,,,,
49,09/16/14 01:00:00 PM,22.525,256.0,,,,
50,09/16/14 04:00:00 PM,18.901,27.0,,,,
51,09/16/14 07:00:00 PM,17.379,0.0,,,,
52,09/16/14 10:00:00 PM,14.900,0.0,,,,
53,09/17/14 01:00:00 AM,13.846,0.0,,,,
54,09/17/14 04:00:00 AM,14.421,0.0,,,,
55,09/17/14 07:00:00 AM,13.750,0.0,,,,
56,09/17/14 10:00:00 AM,15.760,12.0,,,,
57,09/17/14 01:00:00 PM,24.255,102.0,,,,
58,09/17/14 04:00:00 PM,19.377,26.0,,,,
59,09/17/14 07:00:00 PM,16.903,0.0,,,,
