"Plot Title: AR07-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574909, SEN S/N: 10574909)","Intensity, Lux (LGR S/N: 10574909, SEN S/N: 10574909)","Coupler Attached (LGR S/N: 10574909)","Host Connected (LGR S/N: 10574909)","Coupler Detached (LGR S/N: 10574909)","Stopped (LGR S/N: 10574909)","End Of File (LGR S/N: 10574909)"
99,09/22/14 07:00:00 PM,12.304,75.3,,,,,
100,09/22/14 10:00:00 PM,11.431,0.0,,,,,
101,09/23/14 01:00:00 AM,11.431,0.0,,,,,
102,09/23/14 04:00:00 AM,10.455,0.0,,,,,
103,09/23/14 07:00:00 AM,11.625,21.5,,,,,
104,09/23/14 10:00:00 AM,10.651,1022.6,,,,,
105,09/23/14 01:00:00 PM,11.139,2066.7,,,,,
106,09/23/14 04:00:00 PM,10.553,592.0,,,,,
107,09/23/14 07:00:00 PM,10.357,0.0,,,,,
108,09/23/14 10:00:00 PM,10.357,0.0,,,,,
109,09/24/14 01:00:00 AM,11.041,0.0,,,,,
110,09/24/14 04:00:00 AM,10.161,0.0,,,,,
111,09/24/14 07:00:00 AM,9.077,0.0,,,,,
112,09/24/14 10:00:00 AM,8.779,538.2,,,,,
113,09/24/14 01:00:00 PM,9.077,1550.0,,,,,
114,09/24/14 04:00:00 PM,9.472,1722.2,,,,,
115,09/24/14 07:00:00 PM,8.581,172.2,,,,,
116,09/24/14 10:00:00 PM,8.481,0.0,,,,,
117,09/25/14 01:00:00 AM,8.182,0.0,,,,,
118,09/25/14 04:00:00 AM,7.682,0.0,,,,,
119,09/25/14 07:00:00 AM,7.682,10.8,,,,,
120,09/25/14 10:00:00 AM,9.275,5338.9,,,,,
121,09/25/14 01:00:00 PM,9.965,4822.3,,,,,
122,09/25/14 04:00:00 PM,10.161,4650.0,,,,,
123,09/25/14 07:00:00 PM,8.182,10.8,,,,,
124,09/25/14 10:00:00 PM,7.381,0.0,,,,,
125,09/26/14 01:00:00 AM,7.079,0.0,,,,,
126,09/26/14 04:00:00 AM,6.978,0.0,,,,,
127,09/26/14 07:00:00 AM,6.674,0.0,,,,,
128,09/26/14 10:00:00 AM,7.079,2411.1,,,,,
129,09/26/14 01:00:00 PM,8.581,3961.1,,,,,
130,09/26/14 04:00:00 PM,9.275,2927.8,,,,,
131,09/26/14 07:00:00 PM,8.481,10.8,,,,,
132,09/26/14 10:00:00 PM,8.182,0.0,,,,,
133,09/27/14 01:00:00 AM,6.978,0.0,,,,,
134,09/27/14 04:00:00 AM,6.775,0.0,,,,,
135,09/27/14 07:00:00 AM,5.860,53.8,,,,,
136,09/27/14 10:00:00 AM,9.275,10677.8,,,,,
137,09/27/14 01:00:00 PM,13.173,9300.1,,,,,
138,09/27/14 04:00:00 PM,11.819,2755.6,,,,,
139,09/27/14 07:00:00 PM,9.866,183.0,,,,,
140,09/27/14 10:00:00 PM,8.182,0.0,,,,,
141,09/28/14 01:00:00 AM,8.978,0.0,,,,,
142,09/28/14 04:00:00 AM,8.879,0.0,,,,,
143,09/28/14 07:00:00 AM,8.182,21.5,,,,,
144,09/28/14 10:00:00 AM,11.431,12400.1,,,,,
145,09/28/14 01:00:00 PM,14.613,4994.5,,,,,
146,09/28/14 04:00:00 PM,12.787,1011.8,,,,,
147,09/28/14 07:00:00 PM,10.553,21.5,,,,,
148,09/28/14 10:00:00 PM,9.472,0.0,,,,,
149,09/29/14 01:00:00 AM,8.382,0.0,,,,,
150,09/29/14 04:00:00 AM,7.582,0.0,,,,,
151,09/29/14 07:00:00 AM,6.877,32.3,,,,,
152,09/29/14 10:00:00 AM,10.455,6544.5,,,,,
153,09/29/14 01:00:00 PM,12.980,6544.5,,,,,
154,09/29/14 04:00:00 PM,9.472,1636.1,,,,,
155,09/29/14 07:00:00 PM,8.779,10.8,,,,,
156,09/29/14 10:00:00 PM,6.166,0.0,,,,,
157,09/30/14 01:00:00 AM,5.347,0.0,,,,,
158,09/30/14 04:00:00 AM,5.037,0.0,,,,,
159,09/30/14 07:00:00 AM,4.934,0.0,,,,,
160,09/30/14 10:00:00 AM,5.962,5338.9,,,,,
161,09/30/14 01:00:00 PM,10.063,13089.0,,,,,
162,09/30/14 04:00:00 PM,7.983,4477.8,,,,,
163,09/30/14 07:00:00 PM,6.166,0.0,,,,,
164,09/30/14 10:00:00 PM,5.757,0.0,,,,,
165,10/01/14 01:00:00 AM,5.450,0.0,,,,,
166,10/01/14 04:00:00 AM,5.037,0.0,,,,,
167,10/01/14 07:00:00 AM,4.623,10.8,,,,,
168,10/01/14 10:00:00 AM,5.450,2497.2,,,,,
169,10/01/14 01:00:00 PM,6.674,3100.0,,,,,
170,10/01/14 04:00:00 PM,6.674,1173.3,,,,,
171,10/01/14 07:00:00 PM,5.860,0.0,,,,,
172,10/01/14 10:00:00 PM,4.934,0.0,,,,,
173,10/02/14 01:00:00 AM,4.623,0.0,,,,,
174,10/02/14 04:00:00 AM,3.893,0.0,,,,,
175,10/02/14 07:00:00 AM,2.730,32.3,,,,,
176,10/02/14 10:00:00 AM,11.722,198401.3,,,,,
177,10/02/14 01:00:00 PM,9.866,8266.7,,,,,
178,10/02/14 04:00:00 PM,10.063,5166.7,,,,,
179,10/02/14 07:00:00 PM,7.882,0.0,,,,,
180,10/02/14 10:00:00 PM,5.962,0.0,,,,,
181,10/03/14 01:00:00 AM,5.757,0.0,,,,,
182,10/03/14 04:00:00 AM,6.674,0.0,,,,,
183,10/03/14 07:00:00 AM,6.471,10.8,,,,,
184,10/03/14 10:00:00 AM,22.525,198401.3,,,,,
185,10/03/14 01:00:00 PM,14.613,4133.4,,,,,
186,10/03/14 04:00:00 PM,13.173,1463.9,,,,,
187,10/03/14 07:00:00 PM,11.334,0.0,,,,,
188,10/03/14 10:00:00 PM,10.063,0.0,,,,,
189,10/04/14 01:00:00 AM,9.373,0.0,,,,,
190,10/04/14 04:00:00 AM,8.978,0.0,,,,,
191,10/04/14 07:00:00 AM,9.176,10.8,,,,,
192,10/04/14 10:00:00 AM,12.207,6544.5,,,,,
193,10/04/14 01:00:00 PM,15.282,5511.1,,,,,
194,10/04/14 04:00:00 PM,12.304,1367.0,,,,,
195,10/04/14 07:00:00 PM,10.651,0.0,,,,,
196,10/04/14 10:00:00 PM,9.571,0.0,,,,,
197,10/05/14 01:00:00 AM,9.275,0.0,,,,,
198,10/05/14 04:00:00 AM,9.373,0.0,,,,,
199,10/05/14 07:00:00 AM,9.275,21.5,,,,,
200,10/05/14 10:00:00 AM,30.963,85422.8,,,,,
201,10/05/14 01:00:00 PM,16.046,4133.4,,,,,
202,10/05/14 04:00:00 PM,14.613,861.1,,,,,
203,10/05/14 07:00:00 PM,12.401,0.0,,,,,
204,10/05/14 10:00:00 PM,11.236,0.0,,,,,
205,10/06/14 01:00:00 AM,10.651,0.0,,,,,
206,10/06/14 04:00:00 AM,10.259,0.0,,,,,
207,10/06/14 07:00:00 AM,9.965,0.0,,,,,
208,10/06/14 10:00:00 AM,33.430,74400.5,,,,,
209,10/06/14 01:00:00 PM,17.189,3788.9,,,,,
210,10/06/14 04:00:00 PM,15.664,839.6,,,,,
211,10/06/14 07:00:00 PM,13.173,0.0,,,,,
212,10/06/14 10:00:00 PM,12.304,0.0,,,,,
213,10/07/14 01:00:00 AM,11.334,0.0,,,,,
214,10/07/14 04:00:00 AM,10.651,0.0,,,,,
215,10/07/14 07:00:00 AM,10.553,10.8,,,,,
216,10/07/14 10:00:00 AM,33.848,198401.3,,,,,
217,10/07/14 01:00:00 PM,16.713,3961.1,,,,,
218,10/07/14 04:00:00 PM,14.709,839.6,,,,,
219,10/07/14 07:00:00 PM,11.916,0.0,,,,,
220,10/07/14 10:00:00 PM,11.528,0.0,,,,,
221,10/08/14 01:00:00 AM,10.455,0.0,,,,,
222,10/08/14 04:00:00 AM,8.481,0.0,,,,,
223,10/08/14 07:00:00 AM,7.782,0.0,,,,,
224,10/08/14 10:00:00 AM,16.713,26178.0,,,,,
225,10/08/14 01:00:00 PM,13.076,6544.5,,,,,
226,10/08/14 04:00:00 PM,11.625,828.8,,,,,
227,10/08/14 07:00:00 PM,10.063,0.0,,,,,
228,10/08/14 10:00:00 PM,8.282,0.0,,,,,
229,10/09/14 01:00:00 AM,7.983,0.0,,,,,
230,10/09/14 04:00:00 AM,7.682,0.0,,,,,
231,10/09/14 07:00:00 AM,7.582,10.8,,,,,
232,10/09/14 10:00:00 AM,33.743,209423.6,,,,,
233,10/09/14 01:00:00 PM,14.613,3961.1,,,,,
234,10/09/14 04:00:00 PM,13.173,914.9,,,,,
235,10/09/14 07:00:00 PM,10.846,0.0,,,,,
236,10/09/14 10:00:00 PM,9.176,0.0,,,,,
237,10/10/14 01:00:00 AM,8.382,0.0,,,,,
238,10/10/14 04:00:00 AM,7.882,0.0,,,,,
239,10/10/14 07:00:00 AM,7.682,0.0,,,,,
240,10/10/14 10:00:00 AM,34.903,209423.6,,,,,
241,10/10/14 01:00:00 PM,14.517,5166.7,,,,,
242,10/10/14 04:00:00 PM,13.269,3272.2,,,,,
243,10/10/14 07:00:00 PM,9.768,0.0,,,,,
