"Plot Title: TO04-S5"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10578635, SEN S/N: 10578635)","Intensity, lum/ft² (LGR S/N: 10578635, SEN S/N: 10578635)","Coupler Attached (LGR S/N: 10578635)","Host Connected (LGR S/N: 10578635)","Stopped (LGR S/N: 10578635)","End Of File (LGR S/N: 10578635)"
1,09/09/14 01:00:00 PM,12.304,60.0,,,,
2,09/09/14 04:00:00 PM,13.558,58.0,,,,
3,09/09/14 07:00:00 PM,13.750,5.0,,,,
4,09/09/14 10:00:00 PM,11.916,0.0,,,,
5,09/10/14 01:00:00 AM,10.259,0.0,,,,
6,09/10/14 04:00:00 AM,9.373,0.0,,,,
7,09/10/14 07:00:00 AM,8.879,0.0,,,,
8,09/10/14 10:00:00 AM,9.866,23.0,,,,
9,09/10/14 01:00:00 PM,13.269,52.0,,,,
10,09/10/14 04:00:00 PM,14.038,29.0,,,,
11,09/10/14 07:00:00 PM,13.461,2.0,,,,
12,09/10/14 10:00:00 PM,11.916,0.0,,,,
13,09/11/14 01:00:00 AM,9.965,0.0,,,,
14,09/11/14 04:00:00 AM,8.581,0.0,,,,
15,09/11/14 07:00:00 AM,7.582,0.0,,,,
16,09/11/14 10:00:00 AM,8.680,22.0,,,,
17,09/11/14 01:00:00 PM,11.431,45.0,,,,
18,09/11/14 04:00:00 PM,12.207,29.0,,,,
19,09/11/14 07:00:00 PM,11.625,2.0,,,,
20,09/11/14 10:00:00 PM,9.077,0.0,,,,
21,09/12/14 01:00:00 AM,8.082,0.0,,,,
22,09/12/14 04:00:00 AM,7.280,0.0,,,,
23,09/12/14 07:00:00 AM,6.268,0.0,,,,
24,09/12/14 10:00:00 AM,8.282,22.0,,,,
25,09/12/14 01:00:00 PM,12.497,45.0,,,,
26,09/12/14 04:00:00 PM,13.942,28.0,,,,
27,09/12/14 07:00:00 PM,13.461,1.0,,,,
28,09/12/14 10:00:00 PM,11.041,0.0,,,,
29,09/13/14 01:00:00 AM,8.978,0.0,,,,
30,09/13/14 04:00:00 AM,7.582,0.0,,,,
31,09/13/14 07:00:00 AM,7.179,0.0,,,,
32,09/13/14 10:00:00 AM,9.472,22.0,,,,
33,09/13/14 01:00:00 PM,13.654,46.0,,,,
34,09/13/14 04:00:00 PM,14.996,29.0,,,,
35,09/13/14 07:00:00 PM,14.230,1.0,,,,
36,09/13/14 10:00:00 PM,11.819,0.0,,,,
37,09/14/14 01:00:00 AM,9.768,0.0,,,,
38,09/14/14 04:00:00 AM,8.481,0.0,,,,
39,09/14/14 07:00:00 AM,7.782,0.0,,,,
40,09/14/14 10:00:00 AM,9.768,22.0,,,,
