"Plot Title: TO04-S3"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409584, SEN S/N: 2409584)","Intensity, lum/ft² (LGR S/N: 2409584, SEN S/N: 2409584)","Coupler Attached (LGR S/N: 2409584)","Host Connected (LGR S/N: 2409584)","Stopped (LGR S/N: 2409584)","End Of File (LGR S/N: 2409584)"
1,09/09/14 01:00:00 PM,13.269,240.0,,,,
2,09/09/14 04:00:00 PM,14.421,192.0,,,,
3,09/09/14 07:00:00 PM,13.846,19.0,,,,
4,09/09/14 10:00:00 PM,12.013,0.0,,,,
5,09/10/14 01:00:00 AM,10.748,0.0,,,,
6,09/10/14 04:00:00 AM,10.063,0.0,,,,
7,09/10/14 07:00:00 AM,9.669,4.0,,,,
8,09/10/14 10:00:00 AM,10.748,168.0,,,,
9,09/10/14 01:00:00 PM,13.846,320.0,,,,
10,09/10/14 04:00:00 PM,14.134,128.0,,,,
11,09/10/14 07:00:00 PM,13.173,10.0,,,,
12,09/10/14 10:00:00 PM,11.819,0.0,,,,
13,09/11/14 01:00:00 AM,10.553,0.0,,,,
14,09/11/14 04:00:00 AM,9.571,0.0,,,,
15,09/11/14 07:00:00 AM,8.779,4.0,,,,
16,09/11/14 10:00:00 AM,9.669,176.0,,,,
17,09/11/14 01:00:00 PM,12.207,320.0,,,,
18,09/11/14 04:00:00 PM,12.787,128.0,,,,
19,09/11/14 07:00:00 PM,11.528,10.0,,,,
20,09/11/14 10:00:00 PM,9.571,0.0,,,,
21,09/12/14 01:00:00 AM,8.779,0.0,,,,
22,09/12/14 04:00:00 AM,7.882,0.0,,,,
23,09/12/14 07:00:00 AM,7.079,4.0,,,,
24,09/12/14 10:00:00 AM,8.879,168.0,,,,
25,09/12/14 01:00:00 PM,13.173,320.0,,,,
26,09/12/14 04:00:00 PM,13.654,126.0,,,,
27,09/12/14 07:00:00 PM,12.594,9.0,,,,
28,09/12/14 10:00:00 PM,10.651,0.0,,,,
29,09/13/14 01:00:00 AM,9.176,0.0,,,,
30,09/13/14 04:00:00 AM,8.182,0.0,,,,
31,09/13/14 07:00:00 AM,7.882,4.0,,,,
32,09/13/14 10:00:00 AM,9.669,168.0,,,,
33,09/13/14 01:00:00 PM,14.230,320.0,,,,
34,09/13/14 04:00:00 PM,14.613,128.0,,,,
35,09/13/14 07:00:00 PM,13.269,8.0,,,,
36,09/13/14 10:00:00 PM,11.236,0.0,,,,
37,09/14/14 01:00:00 AM,9.866,0.0,,,,
38,09/14/14 04:00:00 AM,8.879,0.0,,,,
39,09/14/14 07:00:00 AM,8.382,4.0,,,,
