"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10163345, SEN S/N: 10163345)","Intensity, Lux (LGR S/N: 10163345, SEN S/N: 10163345)","Coupler Attached (LGR S/N: 10163345)","Host Connected (LGR S/N: 10163345)","Coupler Detached (LGR S/N: 10163345)","Stopped (LGR S/N: 10163345)","End Of File (LGR S/N: 10163345)"
100,10/06/12 10:00:00 PM,8.282,0.0,,,,,
101,10/07/12 01:00:00 AM,7.481,0.0,,,,,
102,10/07/12 04:00:00 AM,7.280,0.0,,,,,
103,10/07/12 07:00:00 AM,6.877,0.0,,,,,
104,10/07/12 10:00:00 AM,8.382,1119.5,,,,,
105,10/07/12 01:00:00 PM,14.134,764.2,,,,,
106,10/07/12 04:00:00 PM,13.076,150.7,,,,,
107,10/07/12 07:00:00 PM,11.528,0.0,,,,,
108,10/07/12 10:00:00 PM,9.768,0.0,,,,,
109,10/08/12 01:00:00 AM,9.275,0.0,,,,,
110,10/08/12 04:00:00 AM,8.382,0.0,,,,,
111,10/08/12 07:00:00 AM,7.582,0.0,,,,,
112,10/08/12 10:00:00 AM,8.282,1097.9,,,,,
113,10/08/12 01:00:00 PM,14.134,1550.0,,,,,
114,10/08/12 04:00:00 PM,12.787,204.5,,,,,
115,10/08/12 07:00:00 PM,11.431,0.0,,,,,
116,10/08/12 10:00:00 PM,9.472,0.0,,,,,
117,10/09/12 01:00:00 AM,8.182,0.0,,,,,
118,10/09/12 04:00:00 AM,7.280,0.0,,,,,
119,10/09/12 07:00:00 AM,6.775,0.0,,,,,
120,10/09/12 10:00:00 AM,7.381,1065.6,,,,,
121,10/09/12 01:00:00 PM,12.304,753.5,,,,,
122,10/09/12 04:00:00 PM,11.528,193.8,,,,,
123,10/09/12 07:00:00 PM,10.553,0.0,,,,,
124,10/09/12 10:00:00 PM,9.275,0.0,,,,,
125,10/10/12 01:00:00 AM,7.882,0.0,,,,,
126,10/10/12 04:00:00 AM,7.179,0.0,,,,,
127,10/10/12 07:00:00 AM,6.674,0.0,,,,,
128,10/10/12 10:00:00 AM,7.381,1065.6,,,,,
129,10/10/12 01:00:00 PM,11.722,462.9,,,,,
130,10/10/12 04:00:00 PM,10.846,172.2,,,,,
131,10/10/12 07:00:00 PM,9.472,0.0,,,,,
132,10/10/12 10:00:00 PM,7.983,0.0,,,,,
133,10/11/12 01:00:00 AM,6.674,0.0,,,,,
134,10/11/12 04:00:00 AM,5.244,0.0,,,,,
135,10/11/12 07:00:00 AM,4.415,0.0,,,,,
136,10/11/12 10:00:00 AM,5.347,1065.6,,,,,
137,10/11/12 01:00:00 PM,9.965,409.0,,,,,
138,10/11/12 04:00:00 PM,10.748,226.0,,,,,
139,10/11/12 07:00:00 PM,9.866,0.0,,,,,
140,10/11/12 10:00:00 PM,8.282,0.0,,,,,
141,10/12/12 01:00:00 AM,7.381,0.0,,,,,
142,10/12/12 04:00:00 AM,6.978,0.0,,,,,
143,10/12/12 07:00:00 AM,7.280,0.0,,,,,
144,10/12/12 10:00:00 AM,8.382,688.9,,,,,
145,10/12/12 01:00:00 PM,9.373,914.9,,,,,
146,10/12/12 04:00:00 PM,10.063,538.2,,,,,
147,10/12/12 07:00:00 PM,10.063,0.0,,,,,
148,10/12/12 10:00:00 PM,9.866,0.0,,,,,
149,10/13/12 01:00:00 AM,9.965,0.0,,,,,
150,10/13/12 04:00:00 AM,9.965,0.0,,,,,
151,10/13/12 07:00:00 AM,10.161,0.0,,,,,
152,10/13/12 10:00:00 AM,10.846,742.7,,,,,
153,10/13/12 01:00:00 PM,11.431,516.7,,,,,
154,10/13/12 04:00:00 PM,11.625,602.8,,,,,
155,10/13/12 07:00:00 PM,11.334,0.0,,,,,
156,10/13/12 10:00:00 PM,11.139,0.0,,,,,
157,10/14/12 01:00:00 AM,11.041,0.0,,,,,
158,10/14/12 04:00:00 AM,11.236,0.0,,,,,
159,10/14/12 07:00:00 AM,11.139,0.0,,,,,
160,10/14/12 10:00:00 AM,12.594,968.8,,,,,
161,10/14/12 01:00:00 PM,12.883,656.6,,,,,
162,10/14/12 04:00:00 PM,12.304,279.9,,,,,
163,10/14/12 07:00:00 PM,11.625,0.0,,,,,
164,10/14/12 10:00:00 PM,11.528,0.0,,,,,
165,10/15/12 01:00:00 AM,11.528,0.0,,,,,
166,10/15/12 04:00:00 AM,11.431,0.0,,,,,
167,10/15/12 07:00:00 AM,11.431,0.0,,,,,
168,10/15/12 10:00:00 AM,11.236,1054.9,,,,,
169,10/15/12 01:00:00 PM,12.207,1636.1,,,,,
170,10/15/12 04:00:00 PM,11.819,53.8,,,,,
171,10/15/12 07:00:00 PM,12.883,0.0,,,,,
172,10/15/12 10:00:00 PM,13.558,0.0,,,,,
173,10/16/12 01:00:00 AM,12.594,0.0,,,,,
174,10/16/12 04:00:00 AM,10.063,0.0,,,,,
175,10/16/12 07:00:00 AM,8.581,0.0,,,,,
176,10/16/12 10:00:00 AM,8.182,721.2,,,,,
177,10/16/12 01:00:00 PM,9.077,1550.0,,,,,
178,10/16/12 04:00:00 PM,8.382,193.8,,,,,
179,10/16/12 07:00:00 PM,7.882,0.0,,,,,
180,10/16/12 10:00:00 PM,7.079,0.0,,,,,
181,10/17/12 01:00:00 AM,6.978,0.0,,,,,
182,10/17/12 04:00:00 AM,5.347,0.0,,,,,
183,10/17/12 07:00:00 AM,4.519,0.0,,,,,
184,10/17/12 10:00:00 AM,5.244,1722.2,,,,,
185,10/17/12 01:00:00 PM,6.978,150.7,,,,,
186,10/17/12 04:00:00 PM,7.782,430.6,,,,,
187,10/17/12 07:00:00 PM,7.983,0.0,,,,,
188,10/17/12 10:00:00 PM,6.978,0.0,,,,,
189,10/18/12 01:00:00 AM,6.370,0.0,,,,,
190,10/18/12 04:00:00 AM,6.064,0.0,,,,,
191,10/18/12 07:00:00 AM,5.962,0.0,,,,,
192,10/18/12 10:00:00 AM,7.280,775.0,,,,,
193,10/18/12 01:00:00 PM,11.334,2066.7,,,,,
194,10/18/12 04:00:00 PM,11.819,484.4,,,,,
195,10/18/12 07:00:00 PM,10.944,0.0,,,,,
196,10/18/12 10:00:00 PM,10.553,0.0,,,,,
197,10/19/12 01:00:00 AM,11.139,0.0,,,,,
198,10/19/12 04:00:00 AM,11.722,0.0,,,,,
199,10/19/12 07:00:00 AM,11.431,0.0,,,,,
200,10/19/12 10:00:00 AM,11.139,366.0,,,,,
201,10/19/12 01:00:00 PM,11.236,215.3,,,,,
202,10/19/12 04:00:00 PM,10.357,86.1,,,,,
203,10/19/12 07:00:00 PM,9.077,0.0,,,,,
204,10/19/12 10:00:00 PM,8.182,0.0,,,,,
205,10/20/12 01:00:00 AM,7.481,0.0,,,,,
206,10/20/12 04:00:00 AM,6.268,0.0,,,,,
207,10/20/12 07:00:00 AM,5.141,0.0,,,,,
208,10/20/12 10:00:00 AM,5.347,721.2,,,,,
209,10/20/12 01:00:00 PM,5.757,2583.4,,,,,
210,10/20/12 04:00:00 PM,5.141,43.1,,,,,
211,10/20/12 07:00:00 PM,3.261,0.0,,,,,
212,10/20/12 10:00:00 PM,3.472,0.0,,,,,
213,10/21/12 01:00:00 AM,3.578,0.0,,,,,
214,10/21/12 04:00:00 AM,3.472,0.0,,,,,
215,10/21/12 07:00:00 AM,2.624,0.0,,,,,
216,10/21/12 10:00:00 AM,3.049,419.8,,,,,
217,10/21/12 01:00:00 PM,4.311,1259.4,,,,,
218,10/21/12 04:00:00 PM,4.623,129.2,,,,,
219,10/21/12 07:00:00 PM,3.788,0.0,,,,,
220,10/21/12 10:00:00 PM,2.837,0.0,,,,,
221,10/22/12 01:00:00 AM,2.195,0.0,,,,,
222,10/22/12 04:00:00 AM,1.980,0.0,,,,,
223,10/22/12 07:00:00 AM,2.303,0.0,,,,,
224,10/22/12 10:00:00 AM,4.102,581.3,,,,,
225,10/22/12 01:00:00 PM,4.415,549.0,,,,,
226,10/22/12 04:00:00 PM,3.683,269.1,,,,,
227,10/22/12 07:00:00 PM,3.261,0.0,,,,,
228,10/22/12 10:00:00 PM,3.261,0.0,,,,,
229,10/23/12 01:00:00 AM,3.261,0.0,,,,,
230,10/23/12 04:00:00 AM,3.367,0.0,,,,,
231,10/23/12 07:00:00 AM,2.837,0.0,,,,,
232,10/23/12 10:00:00 AM,3.367,688.9,,,,,
233,10/23/12 01:00:00 PM,5.141,1280.9,,,,,
234,10/23/12 04:00:00 PM,4.727,387.5,,,,,
235,10/23/12 07:00:00 PM,3.893,0.0,,,,,
236,10/23/12 10:00:00 PM,3.049,0.0,,,,,
237,10/24/12 01:00:00 AM,2.837,0.0,,,,,
238,10/24/12 04:00:00 AM,3.261,0.0,,,,,
239,10/24/12 07:00:00 AM,3.472,0.0,,,,,
240,10/24/12 10:00:00 AM,3.893,495.1,,,,,
241,10/24/12 01:00:00 PM,5.450,1054.9,,,,,
242,10/24/12 04:00:00 PM,5.552,419.8,,,,,
243,10/24/12 07:00:00 PM,4.102,0.0,,,,,
244,10/24/12 10:00:00 PM,3.788,0.0,,,,,
245,10/25/12 01:00:00 AM,3.893,0.0,,,,,
246,10/25/12 04:00:00 AM,3.998,0.0,,,,,
247,10/25/12 07:00:00 AM,3.998,0.0,,,,,
248,10/25/12 10:00:00 AM,4.311,1248.6,,,,,
249,10/25/12 01:00:00 PM,5.552,861.1,,,,,
250,10/25/12 04:00:00 PM,5.860,688.9,,,,,
251,10/25/12 07:00:00 PM,4.831,0.0,,,,,
252,10/25/12 10:00:00 PM,4.207,0.0,,,,,
253,10/26/12 01:00:00 AM,4.102,0.0,,,,,
254,10/26/12 04:00:00 AM,3.998,0.0,,,,,
255,10/26/12 07:00:00 AM,4.415,0.0,,,,,
256,10/26/12 10:00:00 AM,4.831,279.9,,,,,
257,10/26/12 01:00:00 PM,5.552,1162.5,,,,,
258,10/26/12 04:00:00 PM,6.573,699.7,,,,,
259,10/26/12 07:00:00 PM,6.573,0.0,,,,,
260,10/26/12 10:00:00 PM,6.471,0.0,,,,,
261,10/27/12 01:00:00 AM,6.268,0.0,,,,,
262,10/27/12 04:00:00 AM,6.268,0.0,,,,,
263,10/27/12 07:00:00 AM,6.064,0.0,,,,,
264,10/27/12 10:00:00 AM,5.860,204.5,,,,,
265,10/27/12 01:00:00 PM,6.471,559.7,,,,,
266,10/27/12 04:00:00 PM,7.179,21.5,,,,,
267,10/27/12 07:00:00 PM,8.082,0.0,,,,,
268,10/27/12 10:00:00 PM,9.275,0.0,,,,,
269,10/28/12 01:00:00 AM,9.571,0.0,,,,,
270,10/28/12 04:00:00 AM,9.176,0.0,,,,,
271,10/28/12 07:00:00 AM,8.581,0.0,,,,,
272,10/28/12 10:00:00 AM,8.779,1065.6,,,,,
273,10/28/12 01:00:00 PM,9.965,2497.2,,,,,
274,10/28/12 04:00:00 PM,9.768,559.7,,,,,
275,10/28/12 07:00:00 PM,8.978,0.0,,,,,
276,10/28/12 10:00:00 PM,8.879,0.0,,,,,
277,10/29/12 01:00:00 AM,9.669,0.0,,,,,
