Year,Transect,Site_Num,Site_Code,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,notes,predSDD
2019,Glacier Basin,16,GB16,GB16_17,0,11/5/2018,6/11/2019,216,-1.684,162,,150.275518384911
2020,Glacier Basin,16,GB16,GB16_17,0,10/9/2019,5/30/2020,218,-1.001,151,,162.245386035373
2015,Glacier Basin,2,GB2,GB2_15,0.497398496,11/11/2014,4/14/2015,127,-0.213,104,,95.6982955315953
2016,Glacier Basin,2,GB2,GB2_15,0,11/4/2015,4/30/2016,175,0.121,121,,128.744517484699
2017,Glacier Basin,2,GB2,GB2_15,0,11/16/2016,5/27/2017,193,0.121,147,,141.479087845447
2018,Glacier Basin,2,GB2,GB2_15,0,10/13/2017,5/12/2018,197,-2.494,132,,131.778601226134
2019,Glacier Basin,2,GB2,GB2_15,0,11/8/2018,5/20/2019,194,-1.001,140,,125.664815130832
2020,Glacier Basin,2,GB2,GB2_15,0,10/10/2019,4/26/2020,166,-1.914,117,,137.634682781295
2015,Glacier Basin,3,GB3,GB3_15,0.722300228,11/12/2014,4/15/2015,142,-0.437,105,,99.0231700096292
2016,Glacier Basin,3,GB3,GB3_15,0,11/3/2015,5/2/2016,175,-0.549,123,,132.069391962733
2017,Glacier Basin,3,GB3,GB3_15,0.262561856,11/16/2016,5/28/2017,194,0.01,148,,144.803962323481
2018,Glacier Basin,3,GB3,GB3_15,0,10/22/2017,5/15/2018,194,-3.197,135,,135.103475704168
2019,Glacier Basin,3,GB3,GB3_15,NA,NA,NA,NA,NA,NA,,128.989689608866
2020,Glacier Basin,3,GB3,GB3_15,NA,NA,NA,NA,NA,NA,,140.959557259329
2015,Glacier Basin,4,GB4,GB4_15,NA,NA,NA,NA,NA,NA,,111.953778046892
2016,Glacier Basin,4,GB4,GB4_15,0,11/2/2015,5/24/2016,205,0.232,145,,144.999999999996
2015,Glacier Basin,5,GB5,GB5_15,0.834890655,11/11/2014,4/26/2015,166,-0.102,116,,105.625232087852
2016,Glacier Basin,5,GB5,GB5_15,0,11/3/2015,5/7/2016,187,-0.213,128,,138.671454040956
2017,Glacier Basin,4,GB4,GB5_15,0,11/1/2016,5/29/2017,194,0.121,149,,151.406024401704
2018,Glacier Basin,4,GB4,GB5_15,0,10/11/2017,5/18/2018,203,0.121,138,,141.705537782391
2019,Glacier Basin,4,GB4,GB5_15,0,11/6/2018,5/22/2019,197,-2.261,142,,135.59175168709
2020,Glacier Basin,4,GB4,GB5_15,NA,NA,NA,NA,NA,NA,,147.561619337552
2015,Glacier Basin,6,GB6,GB6_15,1.512450877,11/12/2014,4/25/2015,76,-0.887,115,,95.273170009627
2016,Glacier Basin,6,GB6,GB6_15,0,11/11/2015,4/16/2016,136,0.232,107,,128.319391962731
2017,Glacier Basin,5,GB5,GB6_15,0,12/10/2016,5/28/2017,132,0.453,148,,141.053962323479
2018,Glacier Basin,5,GB5,GB6_15,0,10/12/2017,5/6/2018,182,0.232,126,,131.353475704165
2019,Glacier Basin,5,GB5,GB6_15,NA,NA,NA,NA,NA,NA,problematic estimate deleted,125.239689608864
2020,Glacier Basin,5,GB5,GB6_15,NA,NA,NA,NA,NA,NA,,137.209557259327
2017,Glacier Basin,6,GB6,GB6_17,NA,NA,NA,NA,NA,NA,,148.757379666964
2018,Glacier Basin,6,GB6,GB6_17,0,10/11/2017,5/22/2018,198,0.343,142,,139.056893047651
2019,Glacier Basin,6,GB6,GB6_17,0,11/8/2018,5/10/2019,171,-0.887,130,,132.94310695235
2020,Glacier Basin,6,GB6,GB6_17,NA,NA,NA,NA,NA,NA,,144.912974602813
2015,Glacier Basin,7,GB7,GB7_15,NA,NA,NA,NA,NA,NA,,124.039073197201
2016,Glacier Basin,7,GB7,GB7_15,0,11/2/2015,6/4/2016,216,0.232,156,,157.085295150304
2017,Glacier Basin,7,GB7,GB7_15,0,10/17/2016,6/23/2017,228,0.232,174,,169.819865511052
2018,Glacier Basin,7,GB7,GB7_15,0,10/8/2017,6/10/2018,234,0.232,161,,160.119378891739
2019,Glacier Basin,7,GB7,GB7_15,NA,NA,NA,NA,NA,NA,,154.005592796438
2020,Glacier Basin,7,GB7,GB7_15,0,10/1/2019,6/10/2020,231,-0.213,162,,165.9754604469
2015,Glacier Basin,8,GB8,GB8_15,0.263177242,10/26/2014,5/14/2015,193,-0.887,134,,130.025232087853
2016,Glacier Basin,8,GB8,GB8_15,0,11/2/2015,6/3/2016,215,0.01,155,,163.071454040957
2017,Glacier Basin,8,GB8,GB8_15,0,10/17/2016,6/23/2017,236,-0.325,174,,175.806024401705
2018,Glacier Basin,8,GB8,GB8_15,0,10/9/2017,6/17/2018,251,0.01,168,,166.105537782392
2019,Glacier Basin,8,GB8,GB8_15,0,10/5/2018,6/13/2019,222,-1.341,164,,159.991751687091
2020,Glacier Basin,8,GB8,GB8_15,NA,NA,NA,NA,NA,NA,,171.961619337553
2015,Glacier Basin,9,GB9,GB9_15,0.145993528,10/24/2014,5/22/2015,204,-1.57,142,,137.364962198257
2016,Glacier Basin,9,GB9,GB9_15,0,10/27/2015,6/26/2016,240,0.232,178,,170.411184151361
2017,Glacier Basin,9,GB9,GB9_15,0,10/17/2016,6/26/2017,240,0.232,177,,183.145754512109
2018,Glacier Basin,9,GB9,GB9_15,0,10/8/2017,6/19/2018,255,-0.102,170,,173.445267892796
2019,Glacier Basin,9,GB9,GB9_15,0,10/5/2018,6/20/2019,232,-1.799,171,,167.331481797494
2020,Glacier Basin,9,GB9,GB9_15,0,10/1/2019,6/21/2020,259,-0.887,173,,179.301349447957
2013,Reflection Lakes,1,RL1,RL1_13,NA,NA,NA,NA,NA,NA,,178.972686313178
2014,Reflection Lakes,1,RL1,RL1_13,0.437850066,10/2/2013,7/1/2014,249,0.232,182,,178.57986149431
2015,Reflection Lakes,1,RL1,RL1_13,0.274308333,10/27/2014,5/8/2015,177,-2.261,128,,132.686958276295
2016,Reflection Lakes,1,RL1,RL1_13,0,11/4/2015,6/15/2016,224,0.232,167,,165.733180229399
2017,Reflection Lakes,1,RL1,RL1_17,0,10/20/2016,7/10/2017,243,0.232,191,,193.339791099523
2018,Reflection Lakes,1,RL1,RL1_17,0,10/12/2017,7/5/2018,267,0.121,186,,183.63930448021
2019,Reflection Lakes,1,RL1,RL1_17,0,10/6/2018,6/20/2019,229,0.121,171,,177.525518384909
2020,Reflection Lakes,1,RL1,RL1_17,0,10/1/2019,7/14/2020,275,0.01,196,,189.495386035371
2013,Reflection Lakes,2,RL2,RL2_13,NA,NA,NA,NA,NA,NA,,182.042423747105
2014,Reflection Lakes,2,RL2,RL2_13,0.362972531,9/30/2013,7/4/2014,270,0.232,185,,181.649598928237
2015,Reflection Lakes,2,RL2,RL2_13,0.168084596,10/26/2014,5/20/2015,197,-0.213,140,,135.756695710221
2016,Reflection Lakes,2,RL2,RL2_13,0,11/3/2015,6/15/2016,207,0.232,167,,168.802917663325
2017,Reflection Lakes,2,RL2,RL2_13,0,10/17/2016,6/22/2017,230,0.121,173,,181.537488024073
2018,Reflection Lakes,2,RL2,RL2_13,0,10/12/2017,6/21/2018,246,0.232,172,,171.83700140476
2019,Reflection Lakes,2,RL2,RL2_13,0,10/30/2018,6/10/2019,220,0.01,161,,165.723215309459
2020,Reflection Lakes,2,RL2,RL2_13,0,10/9/2019,7/3/2020,259,-0.213,185,,177.693082959921
2013,Reflection Lakes,3,RL3,RL3_13,NA,NA,NA,NA,NA,NA,,179.972686313178
2014,Reflection Lakes,3,RL3,RL3_13,0.383372079,9/30/2013,7/2/2014,271,0.121,183,,179.57986149431
2015,Reflection Lakes,3,RL3,RL3_13,0.28518125,10/27/2014,5/19/2015,198,-0.774,139,,133.686958276295
2016,Reflection Lakes,3a,RL3a,RL3_13,0,10/26/2015,6/6/2016,221,0.121,158,original hobo labeled RL3,166.733180229399
2017,Reflection Lakes,3,RL3,RL3_17,0,10/17/2016,7/7/2017,243,0.121,188,,188.171586444642
2018,Reflection Lakes,3,RL3,RL3_17,0,10/12/2017,7/4/2018,253,0.121,185,,178.471099825329
2019,Reflection Lakes,3,RL3,RL3_17,0,11/4/2018,6/15/2019,224,0.232,166,,172.357313730027
2020,Reflection Lakes,3,RL3,RL3_17,NA,NA,NA,NA,NA,NA,,184.32718138049
2013,Reflection Lakes,4,RL4,RL4_13,NA,NA,NA,NA,NA,NA,,191.123682674796
2016,Reflection Lakes,3b,RL3b,RL4_13,0,10/27/2015,7/2/2016,246,0.01,184,original hobo labeled RL4,177.884176591017
2017,Reflection Lakes,4,RL4,RL4_13,0,10/17/2016,7/7/2017,249,0.01,188,,190.618746951765
2018,Reflection Lakes,4,RL4,RL4_13,0,10/12/2017,7/2/2018,257,0.121,183,,180.918260332451
2019,Reflection Lakes,4,RL4,RL4_13,0,10/5/2018,6/13/2019,227,0.01,164,,174.80447423715
2020,Reflection Lakes,4,RL4,RL4_13,0,10/5/2019,7/10/2020,265,-0.325,192,,186.774341887613
2014,Reflection Lakes,4,RL4,RL4_14,0.35919493,9/30/2013,7/18/2014,285,0.121,199,,195.221027499665
2015,Reflection Lakes,4,RL4,RL4_14,0.289648333,10/27/2014,5/24/2015,197,-2.494,144,,149.32812428165
2016,Reflection Lakes,4,RL4,RL4_14,0,10/27/2015,6/27/2016,241,0.232,179,original hobo labeled RL5,182.374346234754
