"Plot Title: TA01-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2409566, SEN S/N: 2409566)","Intensity, Lux (LGR S/N: 2409566, SEN S/N: 2409566)","Coupler Attached (LGR S/N: 2409566)","Coupler Detached (LGR S/N: 2409566)","Host Connected (LGR S/N: 2409566)","Stopped (LGR S/N: 2409566)","End Of File (LGR S/N: 2409566)"
100,09/23/13 10:00:00 PM,9.373,0.0,,,,,
101,09/24/13 01:00:00 AM,8.779,0.0,,,,,
102,09/24/13 04:00:00 AM,8.481,0.0,,,,,
103,09/24/13 07:00:00 AM,7.782,0.0,,,,,
104,09/24/13 10:00:00 AM,8.182,1173.3,,,,,
105,09/24/13 01:00:00 PM,9.866,4133.4,,,,,
106,09/24/13 04:00:00 PM,10.553,1463.9,,,,,
107,09/24/13 07:00:00 PM,8.978,0.0,,,,,
108,09/24/13 10:00:00 PM,7.582,0.0,,,,,
109,09/25/13 01:00:00 AM,7.481,0.0,,,,,
110,09/25/13 04:00:00 AM,7.481,0.0,,,,,
111,09/25/13 07:00:00 AM,7.381,0.0,,,,,
112,09/25/13 10:00:00 AM,7.481,1216.3,,,,,
113,09/25/13 01:00:00 PM,9.275,1722.2,,,,,
114,09/25/13 04:00:00 PM,9.669,667.4,,,,,
115,09/25/13 07:00:00 PM,8.779,0.0,,,,,
116,09/25/13 10:00:00 PM,7.882,0.0,,,,,
117,09/26/13 01:00:00 AM,7.582,0.0,,,,,
118,09/26/13 04:00:00 AM,6.978,0.0,,,,,
119,09/26/13 07:00:00 AM,7.179,0.0,,,,,
120,09/26/13 10:00:00 AM,7.582,1033.3,,,,,
121,09/26/13 01:00:00 PM,9.866,2927.8,,,,,
122,09/26/13 04:00:00 PM,10.651,430.6,,,,,
123,09/26/13 07:00:00 PM,9.472,0.0,,,,,
124,09/26/13 10:00:00 PM,8.382,0.0,,,,,
125,09/27/13 01:00:00 AM,7.983,0.0,,,,,
126,09/27/13 04:00:00 AM,7.079,0.0,,,,,
127,09/27/13 07:00:00 AM,6.877,0.0,,,,,
128,09/27/13 10:00:00 AM,7.179,1248.6,,,,,
129,09/27/13 01:00:00 PM,8.082,1377.8,,,,,
130,09/27/13 04:00:00 PM,8.581,204.5,,,,,
131,09/27/13 07:00:00 PM,8.581,0.0,,,,,
132,09/27/13 10:00:00 PM,8.779,0.0,,,,,
133,09/28/13 01:00:00 AM,8.779,0.0,,,,,
134,09/28/13 04:00:00 AM,8.680,0.0,,,,,
135,09/28/13 07:00:00 AM,8.680,0.0,,,,,
136,09/28/13 10:00:00 AM,9.965,1345.5,,,,,
137,09/28/13 01:00:00 PM,11.819,667.4,,,,,
138,09/28/13 04:00:00 PM,11.722,1377.8,,,,,
139,09/28/13 07:00:00 PM,10.846,0.0,,,,,
140,09/28/13 10:00:00 PM,7.582,0.0,,,,,
141,09/29/13 01:00:00 AM,7.782,0.0,,,,,
142,09/29/13 04:00:00 AM,7.481,0.0,,,,,
143,09/29/13 07:00:00 AM,7.280,0.0,,,,,
144,09/29/13 10:00:00 AM,7.079,914.9,,,,,
145,09/29/13 01:00:00 PM,6.877,2152.8,,,,,
146,09/29/13 04:00:00 PM,6.471,678.1,,,,,
147,09/29/13 07:00:00 PM,5.450,0.0,,,,,
148,09/29/13 10:00:00 PM,5.860,0.0,,,,,
149,09/30/13 01:00:00 AM,6.370,0.0,,,,,
150,09/30/13 04:00:00 AM,5.347,0.0,,,,,
151,09/30/13 07:00:00 AM,4.415,0.0,,,,,
152,09/30/13 10:00:00 AM,6.064,204.5,,,,,
153,09/30/13 01:00:00 PM,6.573,1259.4,,,,,
154,09/30/13 04:00:00 PM,7.280,2152.8,,,,,
155,09/30/13 07:00:00 PM,6.166,0.0,,,,,
156,09/30/13 10:00:00 PM,6.166,0.0,,,,,
157,10/01/13 01:00:00 AM,5.552,0.0,,,,,
158,10/01/13 04:00:00 AM,4.727,0.0,,,,,
159,10/01/13 07:00:00 AM,4.727,0.0,,,,,
160,10/01/13 10:00:00 AM,5.141,818.1,,,,,
161,10/01/13 01:00:00 PM,6.064,1377.8,,,,,
162,10/01/13 04:00:00 PM,6.268,1313.2,,,,,
163,10/01/13 07:00:00 PM,5.962,0.0,,,,,
164,10/01/13 10:00:00 PM,5.962,0.0,,,,,
165,10/02/13 01:00:00 AM,6.064,0.0,,,,,
166,10/02/13 04:00:00 AM,6.064,0.0,,,,,
167,10/02/13 07:00:00 AM,5.655,64.6,,,,,
168,10/02/13 10:00:00 AM,6.268,1980.6,,,,,
169,10/02/13 01:00:00 PM,8.182,3272.2,,,,,
170,10/02/13 04:00:00 PM,9.077,2238.9,,,,,
171,10/02/13 07:00:00 PM,6.268,0.0,,,,,
172,10/02/13 10:00:00 PM,5.757,0.0,,,,,
173,10/03/13 01:00:00 AM,5.860,0.0,,,,,
174,10/03/13 04:00:00 AM,5.655,0.0,,,,,
175,10/03/13 07:00:00 AM,5.552,0.0,,,,,
176,10/03/13 10:00:00 AM,5.860,979.5,,,,,
177,10/03/13 01:00:00 PM,7.582,2152.8,,,,,
178,10/03/13 04:00:00 PM,8.680,1722.2,,,,,
179,10/03/13 07:00:00 PM,7.079,0.0,,,,,
180,10/03/13 10:00:00 PM,6.674,0.0,,,,,
181,10/04/13 01:00:00 AM,5.347,0.0,,,,,
182,10/04/13 04:00:00 AM,3.683,0.0,,,,,
183,10/04/13 07:00:00 AM,3.261,0.0,,,,,
184,10/04/13 10:00:00 AM,4.831,882.6,,,,,
185,10/04/13 01:00:00 PM,8.481,2411.1,,,,,
186,10/04/13 04:00:00 PM,10.161,1550.0,,,,,
187,10/04/13 07:00:00 PM,8.581,0.0,,,,,
188,10/04/13 10:00:00 PM,6.370,0.0,,,,,
189,10/05/13 01:00:00 AM,5.450,0.0,,,,,
190,10/05/13 04:00:00 AM,4.831,0.0,,,,,
191,10/05/13 07:00:00 AM,4.311,0.0,,,,,
192,10/05/13 10:00:00 AM,5.450,301.4,,,,,
193,10/05/13 01:00:00 PM,11.625,2411.1,,,,,
194,10/05/13 04:00:00 PM,13.654,1463.9,,,,,
195,10/05/13 07:00:00 PM,11.139,0.0,,,,,
196,10/05/13 10:00:00 PM,8.879,0.0,,,,,
197,10/06/13 01:00:00 AM,7.280,0.0,,,,,
198,10/06/13 04:00:00 AM,6.370,0.0,,,,,
199,10/06/13 07:00:00 AM,5.860,0.0,,,,,
200,10/06/13 10:00:00 AM,7.481,1291.7,,,,,
201,10/06/13 01:00:00 PM,12.207,2325.0,,,,,
202,10/06/13 04:00:00 PM,15.282,1636.1,,,,,
203,10/06/13 07:00:00 PM,12.883,0.0,,,,,
204,10/06/13 10:00:00 PM,10.063,0.0,,,,,
205,10/07/13 01:00:00 AM,8.978,0.0,,,,,
206,10/07/13 04:00:00 AM,8.382,0.0,,,,,
207,10/07/13 07:00:00 AM,8.481,0.0,,,,,
208,10/07/13 10:00:00 AM,7.983,721.2,,,,,
209,10/07/13 01:00:00 PM,7.682,1205.6,,,,,
210,10/07/13 04:00:00 PM,7.280,925.7,,,,,
211,10/07/13 07:00:00 PM,6.674,0.0,,,,,
212,10/07/13 10:00:00 PM,6.775,0.0,,,,,
213,10/08/13 01:00:00 AM,6.877,0.0,,,,,
214,10/08/13 04:00:00 AM,6.064,0.0,,,,,
215,10/08/13 07:00:00 AM,6.370,0.0,,,,,
216,10/08/13 10:00:00 AM,6.064,699.7,,,,,
217,10/08/13 01:00:00 PM,6.978,1808.3,,,,,
