"Plot Title: AV06-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995140, SEN S/N: 9995140)","Intensity, Lux (LGR S/N: 9995140, SEN S/N: 9995140)","Bad Battery (LGR S/N: 9995140)","Coupler Attached (LGR S/N: 9995140)","Host Connected (LGR S/N: 9995140)","Stopped (LGR S/N: 9995140)","End Of File (LGR S/N: 9995140)"
100,09/29/13 04:00:00 AM,5.655,0.0,,,,,
101,09/29/13 07:00:00 AM,5.347,0.0,,,,,
102,09/29/13 10:00:00 AM,4.831,409.0,,,,,
103,09/29/13 01:00:00 PM,4.934,936.5,,,,,
104,09/29/13 04:00:00 PM,5.037,495.1,,,,,
105,09/29/13 07:00:00 PM,5.757,0.0,,,,,
106,09/29/13 10:00:00 PM,6.775,0.0,,,,,
107,09/30/13 01:00:00 AM,4.207,0.0,,,,,
108,09/30/13 04:00:00 AM,3.261,0.0,,,,,
109,09/30/13 07:00:00 AM,2.837,0.0,,,,,
110,09/30/13 10:00:00 AM,4.207,688.9,,,,,
111,09/30/13 01:00:00 PM,3.367,538.2,,,,,
112,09/30/13 04:00:00 PM,4.207,1377.8,,,,,
113,09/30/13 07:00:00 PM,3.683,0.0,,,,,
114,09/30/13 10:00:00 PM,1.221,0.0,,,,,
115,10/01/13 01:00:00 AM,2.088,0.0,,,,,
116,10/01/13 04:00:00 AM,2.410,0.0,,,,,
117,10/01/13 07:00:00 AM,2.517,0.0,,,,,
118,10/01/13 10:00:00 AM,2.730,1151.7,,,,,
119,10/01/13 01:00:00 PM,3.788,2066.7,,,,,
120,10/01/13 04:00:00 PM,4.623,958.0,,,,,
121,10/01/13 07:00:00 PM,3.683,0.0,,,,,
122,10/01/13 10:00:00 PM,3.578,0.0,,,,,
123,10/02/13 01:00:00 AM,3.788,0.0,,,,,
124,10/02/13 04:00:00 AM,3.683,0.0,,,,,
125,10/02/13 07:00:00 AM,3.472,0.0,,,,,
126,10/02/13 10:00:00 AM,4.311,1636.1,,,,,
127,10/02/13 01:00:00 PM,5.860,2325.0,,,,,
128,10/02/13 04:00:00 PM,5.552,2755.6,,,,,
129,10/02/13 07:00:00 PM,2.837,0.0,,,,,
130,10/02/13 10:00:00 PM,3.261,0.0,,,,,
131,10/03/13 01:00:00 AM,3.049,0.0,,,,,
132,10/03/13 04:00:00 AM,2.730,0.0,,,,,
133,10/03/13 07:00:00 AM,2.088,0.0,,,,,
134,10/03/13 10:00:00 AM,2.517,1011.8,,,,,
135,10/03/13 01:00:00 PM,5.141,4477.8,,,,,
136,10/03/13 04:00:00 PM,6.370,2755.6,,,,,
137,10/03/13 07:00:00 PM,5.347,0.0,,,,,
138,10/03/13 10:00:00 PM,3.367,0.0,,,,,
139,10/04/13 01:00:00 AM,2.195,0.0,,,,,
140,10/04/13 04:00:00 AM,1.980,0.0,,,,,
141,10/04/13 07:00:00 AM,1.548,10.8,,,,,
142,10/04/13 10:00:00 AM,3.472,1722.2,,,,,
143,10/04/13 01:00:00 PM,7.179,3444.5,,,,,
144,10/04/13 04:00:00 PM,8.282,1894.5,,,,,
145,10/04/13 07:00:00 PM,6.064,0.0,,,,,
146,10/04/13 10:00:00 PM,4.727,0.0,,,,,
147,10/05/13 01:00:00 AM,3.893,0.0,,,,,
148,10/05/13 04:00:00 AM,3.893,0.0,,,,,
149,10/05/13 07:00:00 AM,4.207,0.0,,,,,
150,10/05/13 10:00:00 AM,6.268,1173.3,,,,,
151,10/05/13 01:00:00 PM,11.431,3616.7,,,,,
152,10/05/13 04:00:00 PM,12.207,1722.2,,,,,
153,10/05/13 07:00:00 PM,9.373,0.0,,,,,
154,10/05/13 10:00:00 PM,7.682,0.0,,,,,
155,10/06/13 01:00:00 AM,7.280,0.0,,,,,
156,10/06/13 04:00:00 AM,6.877,0.0,,,,,
157,10/06/13 07:00:00 AM,6.573,0.0,,,,,
158,10/06/13 10:00:00 AM,7.782,1808.3,,,,,
159,10/06/13 01:00:00 PM,12.594,3616.7,,,,,
160,10/06/13 04:00:00 PM,12.980,1722.2,,,,,
161,10/06/13 07:00:00 PM,9.472,0.0,,,,,
162,10/06/13 10:00:00 PM,8.082,0.0,,,,,
163,10/07/13 01:00:00 AM,8.382,0.0,,,,,
164,10/07/13 04:00:00 AM,7.079,0.0,,,,,
165,10/07/13 07:00:00 AM,6.573,0.0,,,,,
166,10/07/13 10:00:00 AM,5.962,602.8,,,,,
167,10/07/13 01:00:00 PM,5.244,2066.7,,,,,
168,10/07/13 04:00:00 PM,5.450,279.9,,,,,
169,10/07/13 07:00:00 PM,4.831,0.0,,,,,
170,10/07/13 10:00:00 PM,4.207,0.0,,,,,
171,10/08/13 01:00:00 AM,4.519,0.0,,,,,
172,10/08/13 04:00:00 AM,3.998,0.0,,,,,
173,10/08/13 07:00:00 AM,3.683,0.0,,,,,
174,10/08/13 10:00:00 AM,3.683,538.2,,,,,
175,10/08/13 01:00:00 PM,4.311,1980.6,,,,,
176,10/08/13 04:00:00 PM,2.943,1248.6,,,,,
177,10/08/13 07:00:00 PM,2.943,0.0,,,,,
178,10/08/13 10:00:00 PM,1.872,0.0,,,,,
179,10/09/13 01:00:00 AM,1.439,0.0,,,,,
180,10/09/13 04:00:00 AM,1.003,0.0,,,,,
181,10/09/13 07:00:00 AM,0.893,0.0,,,,,
182,10/09/13 10:00:00 AM,1.439,958.0,,,,,
183,10/09/13 01:00:00 PM,5.962,3788.9,,,,,
184,10/09/13 04:00:00 PM,6.064,1894.5,,,,,
185,10/09/13 07:00:00 PM,5.037,0.0,,,,,
186,10/09/13 10:00:00 PM,4.727,0.0,,,,,
187,10/10/13 01:00:00 AM,4.102,0.0,,,,,
188,10/10/13 04:00:00 AM,2.517,0.0,,,,,
189,10/10/13 07:00:00 AM,1.764,0.0,,,,,
190,10/10/13 10:00:00 AM,3.367,1377.8,,,,,
191,10/10/13 01:00:00 PM,5.450,2238.9,,,,,
192,10/10/13 04:00:00 PM,7.079,2411.1,,,,,
193,10/10/13 07:00:00 PM,5.860,0.0,,,,,
194,10/10/13 10:00:00 PM,5.552,0.0,,,,,
195,10/11/13 01:00:00 AM,5.037,0.0,,,,,
196,10/11/13 04:00:00 AM,4.623,0.0,,,,,
197,10/11/13 07:00:00 AM,4.207,0.0,,,,,
198,10/11/13 10:00:00 AM,5.037,1291.7,,,,,
199,10/11/13 01:00:00 PM,6.064,2497.2,,,,,
200,10/11/13 04:00:00 PM,5.655,796.5,,,,,
201,10/11/13 07:00:00 PM,5.037,0.0,,,,,
202,10/11/13 10:00:00 PM,4.831,0.0,,,,,
203,10/12/13 01:00:00 AM,4.519,0.0,,,,,
204,10/12/13 04:00:00 AM,4.207,0.0,,,,,
205,10/12/13 07:00:00 AM,3.155,0.0,,,,,
206,10/12/13 10:00:00 AM,3.683,1259.4,,,,,
207,10/12/13 01:00:00 PM,5.244,3961.1,,,,,
208,10/12/13 04:00:00 PM,5.244,1054.9,,,,,
209,10/12/13 07:00:00 PM,4.934,0.0,,,,,
210,10/12/13 10:00:00 PM,4.727,0.0,,,,,
211,10/13/13 01:00:00 AM,3.155,0.0,,,,,
212,10/13/13 04:00:00 AM,2.088,0.0,,,,,
213,10/13/13 07:00:00 AM,1.548,0.0,,,,,
214,10/13/13 10:00:00 AM,2.624,904.2,,,,,
215,10/13/13 01:00:00 PM,6.471,5166.7,,,,,
216,10/13/13 04:00:00 PM,6.674,1324.0,,,,,
217,10/13/13 07:00:00 PM,5.655,0.0,,,,,
218,10/13/13 10:00:00 PM,4.623,0.0,,,,,
219,10/14/13 01:00:00 AM,3.049,0.0,,,,,
220,10/14/13 04:00:00 AM,2.624,0.0,,,,,
221,10/14/13 07:00:00 AM,2.410,0.0,,,,,
222,10/14/13 10:00:00 AM,3.367,893.4,,,,,
223,10/14/13 01:00:00 PM,7.280,3272.2,,,,,
224,10/14/13 04:00:00 PM,8.082,1227.1,,,,,
225,10/14/13 07:00:00 PM,6.064,0.0,,,,,
226,10/14/13 10:00:00 PM,4.415,0.0,,,,,
227,10/15/13 01:00:00 AM,3.893,0.0,,,,,
228,10/15/13 04:00:00 AM,3.578,0.0,,,,,
229,10/15/13 07:00:00 AM,3.155,0.0,,,,,
230,10/15/13 10:00:00 AM,3.998,914.9,,,,,
231,10/15/13 01:00:00 PM,7.882,3272.2,,,,,
232,10/15/13 04:00:00 PM,9.275,1808.3,,,,,
233,10/15/13 07:00:00 PM,6.978,0.0,,,,,
234,10/15/13 10:00:00 PM,5.655,0.0,,,,,
235,10/16/13 01:00:00 AM,5.347,0.0,,,,,
236,10/16/13 04:00:00 AM,4.519,0.0,,,,,
237,10/16/13 07:00:00 AM,4.102,0.0,,,,,
238,10/16/13 10:00:00 AM,4.831,656.6,,,,,
239,10/16/13 01:00:00 PM,8.680,3444.5,,,,,
240,10/16/13 04:00:00 PM,10.357,1808.3,,,,,
241,10/16/13 07:00:00 PM,7.682,0.0,,,,,
242,10/16/13 10:00:00 PM,6.471,0.0,,,,,
243,10/17/13 01:00:00 AM,5.757,0.0,,,,,
244,10/17/13 04:00:00 AM,5.347,0.0,,,,,
245,10/17/13 07:00:00 AM,5.037,0.0,,,,,
246,10/17/13 10:00:00 AM,5.655,839.6,,,,,
247,10/17/13 01:00:00 PM,9.866,3272.2,,,,,
248,10/17/13 04:00:00 PM,10.553,1151.7,,,,,
249,10/17/13 07:00:00 PM,8.282,0.0,,,,,
250,10/17/13 10:00:00 PM,7.079,0.0,,,,,
251,10/18/13 01:00:00 AM,6.370,0.0,,,,,
252,10/18/13 04:00:00 AM,5.860,0.0,,,,,
253,10/18/13 07:00:00 AM,5.244,0.0,,,,,
254,10/18/13 10:00:00 AM,5.962,861.1,,,,,
255,10/18/13 01:00:00 PM,10.063,3272.2,,,,,
256,10/18/13 04:00:00 PM,10.944,1130.2,,,,,
257,10/18/13 07:00:00 PM,8.879,0.0,,,,,
258,10/18/13 10:00:00 PM,7.481,0.0,,,,,
259,10/19/13 01:00:00 AM,6.877,0.0,,,,,
260,10/19/13 04:00:00 AM,6.573,0.0,,,,,
261,10/19/13 07:00:00 AM,6.268,0.0,,,,,
262,10/19/13 10:00:00 AM,6.978,1141.0,,,,,
263,10/19/13 01:00:00 PM,10.259,3272.2,,,,,
264,10/19/13 04:00:00 PM,11.334,1119.5,,,,,
265,10/19/13 07:00:00 PM,9.077,0.0,,,,,
266,10/19/13 10:00:00 PM,7.782,0.0,,,,,
267,10/20/13 01:00:00 AM,6.978,0.0,,,,,
268,10/20/13 04:00:00 AM,6.775,0.0,,,,,
269,10/20/13 07:00:00 AM,6.877,0.0,,,,,
270,10/20/13 10:00:00 AM,7.682,850.4,,,,,
271,10/20/13 01:00:00 PM,12.013,3272.2,,,,,
272,10/20/13 04:00:00 PM,12.304,1076.4,,,,,
273,10/20/13 07:00:00 PM,10.161,0.0,,,,,
274,10/20/13 10:00:00 PM,8.879,0.0,,,,,
275,10/21/13 01:00:00 AM,8.382,0.0,,,,,
276,10/21/13 04:00:00 AM,8.182,0.0,,,,,
277,10/21/13 07:00:00 AM,8.481,0.0,,,,,
278,10/21/13 10:00:00 AM,9.866,839.6,,,,,
279,10/21/13 01:00:00 PM,14.038,3272.2,,,,,
280,10/21/13 04:00:00 PM,14.134,1076.4,,,,,
281,10/21/13 07:00:00 PM,11.431,0.0,,,,,
282,10/21/13 10:00:00 PM,9.965,0.0,,,,,
283,10/22/13 01:00:00 AM,9.571,0.0,,,,,
284,10/22/13 04:00:00 AM,9.275,0.0,,,,,
285,10/22/13 07:00:00 AM,8.879,0.0,,,,,
286,10/22/13 10:00:00 AM,9.472,839.6,,,,,
287,10/22/13 01:00:00 PM,13.942,3272.2,,,,,
288,10/22/13 04:00:00 PM,14.230,1097.9,,,,,
289,10/22/13 07:00:00 PM,11.431,0.0,,,,,
290,10/22/13 10:00:00 PM,10.063,0.0,,,,,
291,10/23/13 01:00:00 AM,8.978,0.0,,,,,
292,10/23/13 04:00:00 AM,8.282,0.0,,,,,
293,10/23/13 07:00:00 AM,7.882,0.0,,,,,
294,10/23/13 10:00:00 AM,8.481,818.1,,,,,
295,10/23/13 01:00:00 PM,13.269,3272.2,,,,,
296,10/23/13 04:00:00 PM,13.750,1097.9,,,,,
297,10/23/13 07:00:00 PM,11.528,0.0,,,,,
298,10/23/13 10:00:00 PM,9.571,0.0,,,,,
299,10/24/13 01:00:00 AM,8.680,0.0,,,,,
300,10/24/13 04:00:00 AM,8.182,0.0,,,,,
301,10/24/13 07:00:00 AM,8.082,0.0,,,,,
302,10/24/13 10:00:00 AM,8.581,764.2,,,,,
303,10/24/13 01:00:00 PM,12.883,3100.0,,,,,
304,10/24/13 04:00:00 PM,13.942,1076.4,,,,,
305,10/24/13 07:00:00 PM,10.553,0.0,,,,,
306,10/24/13 10:00:00 PM,8.978,0.0,,,,,
307,10/25/13 01:00:00 AM,8.182,0.0,,,,,
308,10/25/13 04:00:00 AM,7.582,0.0,,,,,
309,10/25/13 07:00:00 AM,6.978,0.0,,,,,
310,10/25/13 10:00:00 AM,7.280,699.7,,,,,
311,10/25/13 01:00:00 PM,11.139,3272.2,,,,,
312,10/25/13 04:00:00 PM,11.334,1033.3,,,,,
313,10/25/13 07:00:00 PM,7.882,0.0,,,,,
314,10/25/13 10:00:00 PM,6.674,0.0,,,,,
315,10/26/13 01:00:00 AM,6.064,0.0,,,,,
316,10/26/13 04:00:00 AM,5.655,0.0,,,,,
317,10/26/13 07:00:00 AM,4.831,0.0,,,,,
318,10/26/13 10:00:00 AM,4.831,549.0,,,,,
319,10/26/13 01:00:00 PM,9.275,3100.0,,,,,
320,10/26/13 04:00:00 PM,9.571,1033.3,,,,,
321,10/26/13 07:00:00 PM,6.573,0.0,,,,,
322,10/26/13 10:00:00 PM,5.141,0.0,,,,,
323,10/27/13 01:00:00 AM,3.788,0.0,,,,,
324,10/27/13 04:00:00 AM,2.943,0.0,,,,,
325,10/27/13 07:00:00 AM,3.155,0.0,,,,,
326,10/27/13 10:00:00 AM,3.893,731.9,,,,,
327,10/27/13 01:00:00 PM,4.934,2497.2,,,,,
328,10/27/13 04:00:00 PM,4.727,581.3,,,,,
329,10/27/13 07:00:00 PM,4.207,0.0,,,,,
330,10/27/13 10:00:00 PM,3.893,0.0,,,,,
331,10/28/13 01:00:00 AM,3.998,0.0,,,,,
332,10/28/13 04:00:00 AM,3.683,0.0,,,,,
333,10/28/13 07:00:00 AM,2.730,0.0,,,,,
334,10/28/13 10:00:00 AM,2.517,344.4,,,,,
335,10/28/13 01:00:00 PM,5.037,2927.8,,,,,
336,10/28/13 04:00:00 PM,5.450,979.5,,,,,
337,10/28/13 07:00:00 PM,3.472,0.0,,,,,
338,10/28/13 10:00:00 PM,1.656,0.0,,,,,
339,10/29/13 01:00:00 AM,1.112,0.0,,,,,
340,10/29/13 04:00:00 AM,0.674,0.0,,,,,
