"Plot Title: AX15-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995245, SEN S/N: 9995245)","Intensity, Lux (LGR S/N: 9995245, SEN S/N: 9995245)","Bad Battery (LGR S/N: 9995245)","Good Battery (LGR S/N: 9995245)","End Of File (LGR S/N: 9995245)"
108,10/01/13 04:00:00 AM,2.837,0.0,,,
109,10/01/13 07:00:00 AM,2.730,0.0,,,
110,10/01/13 10:00:00 AM,2.624,1194.8,,,
111,10/01/13 01:00:00 PM,3.578,1108.7,,,
112,10/01/13 04:00:00 PM,4.519,613.5,,,
113,10/01/13 07:00:00 PM,3.683,0.0,,,
114,10/01/13 10:00:00 PM,3.578,0.0,,,
115,10/02/13 01:00:00 AM,3.788,0.0,,,
116,10/02/13 04:00:00 AM,3.578,0.0,,,
117,10/02/13 07:00:00 AM,3.367,0.0,,,
118,10/02/13 10:00:00 AM,3.893,1550.0,,,
119,10/02/13 01:00:00 PM,5.347,2669.5,,,
120,10/02/13 04:00:00 PM,5.244,1377.8,,,
121,10/02/13 07:00:00 PM,3.261,0.0,,,
122,10/02/13 10:00:00 PM,3.155,0.0,,,
123,10/03/13 01:00:00 AM,3.049,0.0,,,
124,10/03/13 04:00:00 AM,2.837,0.0,,,
125,10/03/13 07:00:00 AM,2.517,0.0,,,
126,10/03/13 10:00:00 AM,4.207,4994.5,,,
127,10/03/13 01:00:00 PM,4.727,1636.1,,,
128,10/03/13 04:00:00 PM,5.655,958.0,,,
129,10/03/13 07:00:00 PM,5.141,0.0,,,
130,10/03/13 10:00:00 PM,4.623,0.0,,,
131,10/04/13 01:00:00 AM,2.837,0.0,,,
132,10/04/13 04:00:00 AM,3.472,0.0,,,
133,10/04/13 07:00:00 AM,3.788,21.5,,,
134,10/04/13 10:00:00 AM,6.268,2238.9,,,
135,10/04/13 01:00:00 PM,8.680,3444.5,,,
136,10/04/13 04:00:00 PM,8.978,1463.9,,,
137,10/04/13 07:00:00 PM,7.782,0.0,,,
138,10/04/13 10:00:00 PM,7.079,0.0,,,
139,10/05/13 01:00:00 AM,6.775,0.0,,,
140,10/05/13 04:00:00 AM,6.775,0.0,,,
141,10/05/13 07:00:00 AM,7.079,0.0,,,
142,10/05/13 10:00:00 AM,9.768,2669.5,,,
143,10/05/13 01:00:00 PM,13.558,3444.5,,,
144,10/05/13 04:00:00 PM,13.269,1377.8,,,
145,10/05/13 07:00:00 PM,11.722,0.0,,,
146,10/05/13 10:00:00 PM,11.236,0.0,,,
147,10/06/13 01:00:00 AM,10.846,0.0,,,
148,10/06/13 04:00:00 AM,11.041,0.0,,,
149,10/06/13 07:00:00 AM,11.041,0.0,,,
150,10/06/13 10:00:00 AM,12.883,2152.8,,,
151,10/06/13 01:00:00 PM,14.709,3444.5,,,
152,10/06/13 04:00:00 PM,14.134,1313.2,,,
153,10/06/13 07:00:00 PM,10.944,0.0,,,
154,10/06/13 10:00:00 PM,9.866,0.0,,,
155,10/07/13 01:00:00 AM,9.472,0.0,,,
156,10/07/13 04:00:00 AM,6.775,0.0,,,
157,10/07/13 07:00:00 AM,6.674,0.0,,,
158,10/07/13 10:00:00 AM,6.166,624.3,,,
159,10/07/13 01:00:00 PM,5.141,753.5,,,
160,10/07/13 04:00:00 PM,5.347,495.1,,,
161,10/07/13 07:00:00 PM,4.727,0.0,,,
162,10/07/13 10:00:00 PM,4.207,0.0,,,
163,10/08/13 01:00:00 AM,4.519,0.0,,,
164,10/08/13 04:00:00 AM,4.207,0.0,,,
165,10/08/13 07:00:00 AM,3.367,0.0,,,
166,10/08/13 10:00:00 AM,3.472,484.4,,,
167,10/08/13 01:00:00 PM,4.311,1011.8,,,
168,10/08/13 04:00:00 PM,3.261,839.6,,,
169,10/08/13 07:00:00 PM,3.155,0.0,,,
