"Plot Title: TO11-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10574903, SEN S/N: 10574903)","Intensity, Lux (LGR S/N: 10574903, SEN S/N: 10574903)","Coupler Attached (LGR S/N: 10574903)","Coupler Detached (LGR S/N: 10574903)","Host Connected (LGR S/N: 10574903)","Stopped (LGR S/N: 10574903)","End Of File (LGR S/N: 10574903)"
100,09/26/15 10:00:00 PM,8.282,0.0,,,,,
101,09/27/15 01:00:00 AM,7.381,0.0,,,,,
102,09/27/15 04:00:00 AM,6.268,0.0,,,,,
103,09/27/15 07:00:00 AM,5.037,0.0,,,,,
104,09/27/15 10:00:00 AM,6.064,1108.7,,,,,
105,09/27/15 01:00:00 PM,13.173,16533.4,,,,,
106,09/27/15 04:00:00 PM,10.259,699.7,,,,,
107,09/27/15 07:00:00 PM,9.472,0.0,,,,,
108,09/27/15 10:00:00 PM,7.983,0.0,,,,,
109,09/28/15 01:00:00 AM,7.179,0.0,,,,,
110,09/28/15 04:00:00 AM,6.674,0.0,,,,,
111,09/28/15 07:00:00 AM,6.268,0.0,,,,,
112,09/28/15 10:00:00 AM,7.179,1087.2,,,,,
113,09/28/15 01:00:00 PM,14.134,9644.5,,,,,
114,09/28/15 04:00:00 PM,12.207,635.1,,,,,
115,09/28/15 07:00:00 PM,11.236,0.0,,,,,
116,09/28/15 10:00:00 PM,9.866,0.0,,,,,
117,09/29/15 01:00:00 AM,9.275,0.0,,,,,
118,09/29/15 04:00:00 AM,8.879,0.0,,,,,
119,09/29/15 07:00:00 AM,8.481,0.0,,,,,
120,09/29/15 10:00:00 AM,9.275,1097.9,,,,,
121,09/29/15 01:00:00 PM,15.473,4822.3,,,,,
122,09/29/15 04:00:00 PM,13.846,581.3,,,,,
123,09/29/15 07:00:00 PM,12.787,0.0,,,,,
124,09/29/15 10:00:00 PM,11.236,0.0,,,,,
125,09/30/15 01:00:00 AM,10.357,0.0,,,,,
126,09/30/15 04:00:00 AM,9.669,0.0,,,,,
127,09/30/15 07:00:00 AM,8.978,0.0,,,,,
128,09/30/15 10:00:00 AM,9.472,1087.2,,,,,
129,09/30/15 01:00:00 PM,14.900,4305.6,,,,,
130,09/30/15 04:00:00 PM,13.461,516.7,,,,,
131,09/30/15 07:00:00 PM,12.401,0.0,,,,,
132,09/30/15 10:00:00 PM,10.944,0.0,,,,,
133,10/01/15 01:00:00 AM,9.965,0.0,,,,,
134,10/01/15 04:00:00 AM,9.077,0.0,,,,,
135,10/01/15 07:00:00 AM,8.481,0.0,,,,,
136,10/01/15 10:00:00 AM,9.176,1119.5,,,,,
137,10/01/15 01:00:00 PM,14.709,5166.7,,,,,
138,10/01/15 04:00:00 PM,13.558,441.3,,,,,
139,10/01/15 07:00:00 PM,12.690,0.0,,,,,
140,10/01/15 10:00:00 PM,11.236,0.0,,,,,
141,10/02/15 01:00:00 AM,10.357,0.0,,,,,
142,10/02/15 04:00:00 AM,9.472,0.0,,,,,
143,10/02/15 07:00:00 AM,8.581,32.3,,,,,
144,10/02/15 10:00:00 AM,9.571,1463.9,,,,,
145,10/02/15 01:00:00 PM,10.944,1808.3,,,,,
146,10/02/15 04:00:00 PM,11.431,581.3,,,,,
147,10/02/15 07:00:00 PM,11.041,0.0,,,,,
148,10/02/15 10:00:00 PM,10.553,0.0,,,,,
149,10/03/15 01:00:00 AM,9.275,0.0,,,,,
150,10/03/15 04:00:00 AM,8.581,0.0,,,,,
151,10/03/15 07:00:00 AM,8.481,0.0,,,,,
152,10/03/15 10:00:00 AM,9.275,1162.5,,,,,
153,10/03/15 01:00:00 PM,10.063,1980.6,,,,,
154,10/03/15 04:00:00 PM,10.357,1162.5,,,,,
155,10/03/15 07:00:00 PM,9.965,0.0,,,,,
156,10/03/15 10:00:00 PM,9.275,0.0,,,,,
157,10/04/15 01:00:00 AM,8.481,0.0,,,,,
158,10/04/15 04:00:00 AM,8.581,0.0,,,,,
159,10/04/15 07:00:00 AM,8.581,0.0,,,,,
160,10/04/15 10:00:00 AM,9.275,968.8,,,,,
161,10/04/15 01:00:00 PM,14.134,1980.6,,,,,
162,10/04/15 04:00:00 PM,12.304,215.3,,,,,
163,10/04/15 07:00:00 PM,11.625,0.0,,,,,
164,10/04/15 10:00:00 PM,10.651,0.0,,,,,
165,10/05/15 01:00:00 AM,10.161,0.0,,,,,
166,10/05/15 04:00:00 AM,9.571,0.0,,,,,
167,10/05/15 07:00:00 AM,9.472,0.0,,,,,
168,10/05/15 10:00:00 AM,10.357,968.8,,,,,
169,10/05/15 01:00:00 PM,15.091,2325.0,,,,,
170,10/05/15 04:00:00 PM,14.421,764.2,,,,,
171,10/05/15 07:00:00 PM,13.269,0.0,,,,,
172,10/05/15 10:00:00 PM,12.013,0.0,,,,,
173,10/06/15 01:00:00 AM,11.334,0.0,,,,,
174,10/06/15 04:00:00 AM,10.553,0.0,,,,,
175,10/06/15 07:00:00 AM,10.455,0.0,,,,,
176,10/06/15 10:00:00 AM,11.139,1011.8,,,,,
