"Plot Title: AB08-S4"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603880, SEN S/N: 10603880)","Intensity, Lux (LGR S/N: 10603880, SEN S/N: 10603880)","Bad Battery (LGR S/N: 10603880)","Good Battery (LGR S/N: 10603880)","Coupler Attached (LGR S/N: 10603880)","Host Connected (LGR S/N: 10603880)","Stopped (LGR S/N: 10603880)","End Of File (LGR S/N: 10603880)"
305,10/24/15 01:00:00 PM,9.077,2583.4,,,,,,
306,10/24/15 04:00:00 PM,9.669,914.9,,,,,,
307,10/24/15 07:00:00 PM,8.082,0.0,,,,,,
308,10/24/15 10:00:00 PM,6.978,0.0,,,,,,
309,10/25/15 01:00:00 AM,7.079,0.0,,,,,,
310,10/25/15 04:00:00 AM,6.877,0.0,,,,,,
311,10/25/15 07:00:00 AM,6.674,0.0,,,,,,
312,10/25/15 10:00:00 AM,7.582,3100.0,,,,,,
313,10/25/15 01:00:00 PM,9.866,3100.0,,,,,,
314,10/25/15 04:00:00 PM,7.079,1259.4,,,,,,
315,10/25/15 07:00:00 PM,5.962,0.0,,,,,,
316,10/25/15 10:00:00 PM,6.775,0.0,,,,,,
317,10/26/15 01:00:00 AM,6.573,0.0,,,,,,
318,10/26/15 04:00:00 AM,5.141,0.0,,,,,,
319,10/26/15 07:00:00 AM,4.623,0.0,,,,,,
320,10/26/15 10:00:00 AM,4.623,1808.3,,,,,,
321,10/26/15 01:00:00 PM,5.962,1722.2,,,,,,
322,10/26/15 04:00:00 PM,6.674,2411.1,,,,,,
323,10/26/15 07:00:00 PM,5.655,0.0,,,,,,
324,10/26/15 10:00:00 PM,5.552,0.0,,,,,,
325,10/27/15 01:00:00 AM,4.727,0.0,,,,,,
326,10/27/15 04:00:00 AM,4.102,0.0,,,,,,
327,10/27/15 07:00:00 AM,4.311,0.0,,,,,,
328,10/27/15 10:00:00 AM,5.552,2411.1,,,,,,
329,10/27/15 01:00:00 PM,7.882,2755.6,,,,,,
330,10/27/15 04:00:00 PM,8.282,1808.3,,,,,,
331,10/27/15 07:00:00 PM,6.064,0.0,,,,,,
332,10/27/15 10:00:00 PM,5.860,0.0,,,,,,
333,10/28/15 01:00:00 AM,6.166,0.0,,,,,,
334,10/28/15 04:00:00 AM,6.370,0.0,,,,,,
335,10/28/15 07:00:00 AM,6.674,0.0,,,,,,
336,10/28/15 10:00:00 AM,7.280,2755.6,,,,,,
337,10/28/15 01:00:00 PM,8.382,1463.9,,,,,,
338,10/28/15 04:00:00 PM,7.381,581.3,,,,,,
339,10/28/15 07:00:00 PM,6.064,0.0,,,,,,
340,10/28/15 10:00:00 PM,5.962,0.0,,,,,,
341,10/29/15 01:00:00 AM,5.655,0.0,,,,,,
342,10/29/15 04:00:00 AM,5.244,0.0,,,,,,
343,10/29/15 07:00:00 AM,5.037,0.0,,,,,,
344,10/29/15 10:00:00 AM,5.141,301.4,,,,,,
345,10/29/15 01:00:00 PM,7.381,3444.5,,,,,,
346,10/29/15 04:00:00 PM,8.082,2066.7,,,,,,
347,10/29/15 07:00:00 PM,7.280,0.0,,,,,,
348,10/29/15 10:00:00 PM,6.166,0.0,,,,,,
349,10/30/15 01:00:00 AM,5.450,0.0,,,,,,
350,10/30/15 04:00:00 AM,5.962,0.0,,,,,,
351,10/30/15 07:00:00 AM,6.370,0.0,,,,,,
352,10/30/15 10:00:00 AM,7.582,1377.8,,,,,,
353,10/30/15 01:00:00 PM,9.176,1270.1,,,,,,
354,10/30/15 04:00:00 PM,8.879,1291.7,,,,,,
355,10/30/15 07:00:00 PM,8.282,0.0,,,,,,
356,10/30/15 10:00:00 PM,7.882,0.0,,,,,,
357,10/31/15 01:00:00 AM,7.381,0.0,,,,,,
358,10/31/15 04:00:00 AM,7.782,0.0,,,,,,
359,10/31/15 07:00:00 AM,8.182,0.0,,,,,,
360,10/31/15 10:00:00 AM,8.382,290.6,,,,,,
361,10/31/15 01:00:00 PM,8.481,366.0,,,,,,
362,10/31/15 04:00:00 PM,6.978,139.9,,,,,,
363,10/31/15 07:00:00 PM,5.757,0.0,,,,,,
364,10/31/15 10:00:00 PM,4.415,0.0,,,,,,
365,11/01/15 01:00:00 AM,4.415,0.0,,,,,,
366,11/01/15 04:00:00 AM,5.037,0.0,,,,,,
367,11/01/15 07:00:00 AM,4.102,0.0,,,,,,
368,11/01/15 10:00:00 AM,0.563,861.1,,,,,,
369,11/01/15 01:00:00 PM,4.207,2583.4,,,,,,
370,11/01/15 04:00:00 PM,3.472,1162.5,,,,,,
371,11/01/15 07:00:00 PM,2.410,0.0,,,,,,
372,11/01/15 10:00:00 PM,2.410,0.0,,,,,,
373,11/02/15 01:00:00 AM,2.088,0.0,,,,,,
374,11/02/15 04:00:00 AM,2.410,0.0,,,,,,
375,11/02/15 07:00:00 AM,2.410,0.0,,,,,,
376,11/02/15 10:00:00 AM,2.837,1291.7,,,,,,
377,11/02/15 01:00:00 PM,5.037,5166.7,,,,,,
378,11/02/15 04:00:00 PM,4.727,1367.0,,,,,,
379,11/02/15 07:00:00 PM,3.049,0.0,,,,,,
380,11/02/15 10:00:00 PM,2.303,0.0,,,,,,
381,11/03/15 01:00:00 AM,1.980,0.0,,,,,,
382,11/03/15 04:00:00 AM,1.764,0.0,,,,,,
383,11/03/15 07:00:00 AM,1.439,0.0,,,,,,
384,11/03/15 10:00:00 AM,1.548,1463.9,,,,,,
385,11/03/15 01:00:00 PM,2.195,1808.3,,,,,,
386,11/03/15 04:00:00 PM,2.517,1636.1,,,,,,
387,11/03/15 07:00:00 PM,0.784,0.0,,,,,,
388,11/03/15 10:00:00 PM,0.121,0.0,,,,,,
389,11/04/15 01:00:00 AM,-0.213,0.0,,,,,,
390,11/04/15 04:00:00 AM,-0.662,0.0,,,,,,
391,11/04/15 07:00:00 AM,-1.114,0.0,,,,,,
392,11/04/15 10:00:00 AM,-0.887,279.9,,,,,,
393,11/04/15 01:00:00 PM,0.121,828.8,,,,,,
394,11/04/15 04:00:00 PM,0.343,764.2,,,,,,
395,11/04/15 07:00:00 PM,0.563,0.0,,,,,,
396,11/04/15 10:00:00 PM,0.674,0.0,,,,,,
397,11/05/15 01:00:00 AM,0.563,0.0,,,,,,
398,11/05/15 04:00:00 AM,1.003,0.0,,,,,,
399,11/05/15 07:00:00 AM,0.563,0.0,,,,,,
400,11/05/15 10:00:00 AM,1.764,1377.8,,,,,,
401,11/05/15 01:00:00 PM,3.261,2927.8,,,,,,
402,11/05/15 04:00:00 PM,3.155,1044.1,,,,,,
403,11/05/15 07:00:00 PM,2.624,0.0,,,,,,
404,11/05/15 10:00:00 PM,1.872,0.0,,,,,,
405,11/06/15 01:00:00 AM,1.656,0.0,,,,,,
406,11/06/15 04:00:00 AM,0.893,0.0,,,,,,
407,11/06/15 07:00:00 AM,1.221,0.0,,,,,,
408,11/06/15 10:00:00 AM,2.517,1550.0,,,,,,
409,11/06/15 01:00:00 PM,4.623,2669.5,,,,,,
410,11/06/15 04:00:00 PM,4.623,893.4,,,,,,
411,11/06/15 07:00:00 PM,3.893,0.0,,,,,,
412,11/06/15 10:00:00 PM,4.207,0.0,,,,,,
413,11/07/15 01:00:00 AM,4.102,0.0,,,,,,
414,11/07/15 04:00:00 AM,4.519,0.0,,,,,,
