"Plot Title: AB08-S1"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603895, SEN S/N: 10603895)","Intensity, Lux (LGR S/N: 10603895, SEN S/N: 10603895)","Coupler Attached (LGR S/N: 10603895)","Host Connected (LGR S/N: 10603895)","Coupler Detached (LGR S/N: 10603895)","Stopped (LGR S/N: 10603895)","End Of File (LGR S/N: 10603895)"
100,09/28/15 10:00:00 PM,8.481,0.0,,,,,
101,09/29/15 01:00:00 AM,7.782,0.0,,,,,
102,09/29/15 04:00:00 AM,6.877,0.0,,,,,
103,09/29/15 07:00:00 AM,6.978,21.5,,,,,
104,09/29/15 10:00:00 AM,8.382,775.0,,,,,
105,09/29/15 01:00:00 PM,13.365,3961.1,,,,,
106,09/29/15 04:00:00 PM,18.140,41333.6,,,,,
107,09/29/15 07:00:00 PM,13.173,10.8,,,,,
108,09/29/15 10:00:00 PM,10.161,0.0,,,,,
109,09/30/15 01:00:00 AM,9.373,0.0,,,,,
110,09/30/15 04:00:00 AM,8.481,0.0,,,,,
111,09/30/15 07:00:00 AM,8.382,32.3,,,,,
112,09/30/15 10:00:00 AM,9.373,807.3,,,,,
113,09/30/15 01:00:00 PM,14.134,4822.3,,,,,
114,09/30/15 04:00:00 PM,18.521,24800.2,,,,,
115,09/30/15 07:00:00 PM,12.594,0.0,,,,,
116,09/30/15 10:00:00 PM,9.571,0.0,,,,,
117,10/01/15 01:00:00 AM,8.182,0.0,,,,,
118,10/01/15 04:00:00 AM,7.882,0.0,,,,,
119,10/01/15 07:00:00 AM,7.381,0.0,,,,,
120,10/01/15 10:00:00 AM,9.571,861.1,,,,,
121,10/01/15 01:00:00 PM,13.654,3616.7,,,,,
122,10/01/15 04:00:00 PM,16.618,18600.1,,,,,
123,10/01/15 07:00:00 PM,12.110,0.0,,,,,
124,10/01/15 10:00:00 PM,9.472,0.0,,,,,
125,10/02/15 01:00:00 AM,8.282,0.0,,,,,
126,10/02/15 04:00:00 AM,7.079,0.0,,,,,
127,10/02/15 07:00:00 AM,6.471,129.2,,,,,
