"Plot Title: AB08-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Intensity, Lux (LGR S/N: 10603889, SEN S/N: 10603889, LBL: ICE CAL)","Coupler Attached (LGR S/N: 10603889)","Host Connected (LGR S/N: 10603889)","Stopped (LGR S/N: 10603889)","End Of File (LGR S/N: 10603889)"
103,09/29/15 07:00:00 AM,6.978,43.1,,,,
104,09/29/15 10:00:00 AM,8.182,1033.3,,,,
105,09/29/15 01:00:00 PM,12.304,3444.5,,,,
106,09/29/15 04:00:00 PM,14.804,2755.6,,,,
107,09/29/15 07:00:00 PM,12.690,10.8,,,,
108,09/29/15 10:00:00 PM,10.063,0.0,,,,
109,09/30/15 01:00:00 AM,9.275,0.0,,,,
110,09/30/15 04:00:00 AM,8.481,0.0,,,,
111,09/30/15 07:00:00 AM,8.282,43.1,,,,
112,09/30/15 10:00:00 AM,9.176,1054.9,,,,
113,09/30/15 01:00:00 PM,12.883,2497.2,,,,
114,09/30/15 04:00:00 PM,16.046,3444.5,,,,
115,09/30/15 07:00:00 PM,12.304,10.8,,,,
116,09/30/15 10:00:00 PM,9.472,0.0,,,,
117,10/01/15 01:00:00 AM,8.182,0.0,,,,
118,10/01/15 04:00:00 AM,7.882,0.0,,,,
119,10/01/15 07:00:00 AM,7.381,10.8,,,,
120,10/01/15 10:00:00 AM,9.176,1097.9,,,,
121,10/01/15 01:00:00 PM,12.690,2411.1,,,,
122,10/01/15 04:00:00 PM,15.187,2669.5,,,,
123,10/01/15 07:00:00 PM,11.819,0.0,,,,
124,10/01/15 10:00:00 PM,9.373,0.0,,,,
125,10/02/15 01:00:00 AM,8.282,0.0,,,,
126,10/02/15 04:00:00 AM,7.179,0.0,,,,
127,10/02/15 07:00:00 AM,6.573,161.5,,,,
128,10/02/15 10:00:00 AM,9.768,4477.8,,,,
129,10/02/15 01:00:00 PM,10.748,2755.6,,,,
130,10/02/15 04:00:00 PM,9.965,839.6,,,,
131,10/02/15 07:00:00 PM,8.879,0.0,,,,
132,10/02/15 10:00:00 PM,8.082,0.0,,,,
133,10/03/15 01:00:00 AM,7.782,0.0,,,,
134,10/03/15 04:00:00 AM,7.280,0.0,,,,
135,10/03/15 07:00:00 AM,7.079,10.8,,,,
136,10/03/15 10:00:00 AM,7.682,1636.1,,,,
137,10/03/15 01:00:00 PM,9.669,2411.1,,,,
138,10/03/15 04:00:00 PM,11.431,2325.0,,,,
139,10/03/15 07:00:00 PM,9.768,0.0,,,,
140,10/03/15 10:00:00 PM,8.182,0.0,,,,
141,10/04/15 01:00:00 AM,7.582,0.0,,,,
142,10/04/15 04:00:00 AM,7.983,0.0,,,,
143,10/04/15 07:00:00 AM,7.481,10.8,,,,
144,10/04/15 10:00:00 AM,8.382,1065.6,,,,
145,10/04/15 01:00:00 PM,11.139,2152.8,,,,
146,10/04/15 04:00:00 PM,12.690,2325.0,,,,
147,10/04/15 07:00:00 PM,11.334,0.0,,,,
148,10/04/15 10:00:00 PM,9.176,0.0,,,,
149,10/05/15 01:00:00 AM,8.481,0.0,,,,
