"Plot Title: TB13-S2"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 2401762, SEN S/N: 2401762, LBL: TEMPERATURE)","Intensity, Lux (LGR S/N: 2401762, SEN S/N: 2401762, LBL: LIGHT INTENSITY)","End Of File (LGR S/N: 2401762)"
118,10/07/15 04:00:00 AM,14.038,0.0,
119,10/07/15 07:00:00 AM,13.269,0.0,
120,10/07/15 10:00:00 AM,13.076,32.3,
121,10/07/15 01:00:00 PM,13.846,96.9,
122,10/07/15 04:00:00 PM,14.804,96.9,
123,10/07/15 07:00:00 PM,14.900,0.0,
124,10/07/15 10:00:00 PM,14.613,0.0,
125,10/08/15 01:00:00 AM,14.421,0.0,
126,10/08/15 04:00:00 AM,13.365,0.0,
127,10/08/15 07:00:00 AM,11.139,0.0,
128,10/08/15 10:00:00 AM,12.304,215.3,
129,10/08/15 01:00:00 PM,15.282,398.3,
130,10/08/15 04:00:00 PM,17.094,312.2,
131,10/08/15 07:00:00 PM,15.473,0.0,
132,10/08/15 10:00:00 PM,14.804,0.0,
133,10/09/15 01:00:00 AM,14.134,0.0,
134,10/09/15 04:00:00 AM,14.325,0.0,
135,10/09/15 07:00:00 AM,14.996,0.0,
136,10/09/15 10:00:00 AM,15.760,226.0,
137,10/09/15 01:00:00 PM,16.046,139.9,
138,10/09/15 04:00:00 PM,15.187,75.3,
139,10/09/15 07:00:00 PM,15.091,0.0,
140,10/09/15 10:00:00 PM,14.613,0.0,
141,10/10/15 01:00:00 AM,14.709,0.0,
142,10/10/15 04:00:00 AM,14.613,0.0,
143,10/10/15 07:00:00 AM,14.613,0.0,
144,10/10/15 10:00:00 AM,15.473,366.0,
145,10/10/15 01:00:00 PM,14.517,129.2,
146,10/10/15 04:00:00 PM,12.207,10.8,
147,10/10/15 07:00:00 PM,11.334,0.0,
148,10/10/15 10:00:00 PM,10.357,0.0,
149,10/11/15 01:00:00 AM,10.063,0.0,
150,10/11/15 04:00:00 AM,9.571,0.0,
