"Plot Title: MW-RL-7"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 10620902, SEN S/N: 10620902)","Coupler Attached (LGR S/N: 10620902)","Host Connected (LGR S/N: 10620902)","Coupler Detached (LGR S/N: 10620902)","Stopped (LGR S/N: 10620902)","End Of File (LGR S/N: 10620902)"
1,10/13/15 01:00:00 AM,7.782,,,,,
2,10/13/15 03:00:00 AM,7.582,,,,,
3,10/13/15 05:00:00 AM,7.682,,,,,
4,10/13/15 07:00:00 AM,7.179,,,,,
5,10/13/15 09:00:00 AM,8.182,,,,,
6,10/13/15 11:00:00 AM,9.768,,,,,
7,10/13/15 01:00:00 PM,10.161,,,,,
8,10/13/15 03:00:00 PM,10.846,,,,,
9,10/13/15 05:00:00 PM,12.207,,,,,
10,10/13/15 07:00:00 PM,8.879,,,,,
11,10/13/15 09:00:00 PM,5.757,,,,,
12,10/13/15 11:00:00 PM,4.415,,,,,
13,10/14/15 01:00:00 AM,3.683,,,,,
14,10/14/15 03:00:00 AM,3.049,,,,,
15,10/14/15 05:00:00 AM,2.730,,,,,
16,10/14/15 07:00:00 AM,2.517,,,,,
17,10/14/15 09:00:00 AM,2.624,,,,,
18,10/14/15 11:00:00 AM,7.481,,,,,
19,10/14/15 01:00:00 PM,16.332,,,,,
20,10/14/15 03:00:00 PM,18.901,,,,,
21,10/14/15 05:00:00 PM,15.473,,,,,
22,10/14/15 07:00:00 PM,9.866,,,,,
23,10/14/15 09:00:00 PM,7.782,,,,,
24,10/14/15 11:00:00 PM,6.775,,,,,
25,10/15/15 01:00:00 AM,5.860,,,,,
26,10/15/15 03:00:00 AM,5.141,,,,,
27,10/15/15 05:00:00 AM,4.519,,,,,
28,10/15/15 07:00:00 AM,4.207,,,,,
29,10/15/15 09:00:00 AM,5.347,,,,,
30,10/15/15 11:00:00 AM,8.182,,,,,
31,10/15/15 01:00:00 PM,16.999,,,,,
32,10/15/15 03:00:00 PM,19.472,,,,,
33,10/15/15 05:00:00 PM,15.664,,,,,
34,10/15/15 07:00:00 PM,10.944,,,,,
35,10/15/15 09:00:00 PM,9.176,,,,,
36,10/15/15 11:00:00 PM,8.282,,,,,
37,10/16/15 01:00:00 AM,7.481,,,,,
38,10/16/15 03:00:00 AM,6.978,,,,,
39,10/16/15 05:00:00 AM,6.877,,,,,
40,10/16/15 07:00:00 AM,6.978,,,,,
41,10/16/15 09:00:00 AM,7.280,,,,,
42,10/16/15 11:00:00 AM,11.625,,,,,
43,10/16/15 01:00:00 PM,18.140,,,,,
44,10/16/15 03:00:00 PM,22.333,,,,,
45,10/16/15 05:00:00 PM,18.426,,,,,
46,10/16/15 07:00:00 PM,13.365,,,,,
47,10/16/15 09:00:00 PM,12.013,,,,,
48,10/16/15 11:00:00 PM,11.139,,,,,
49,10/17/15 01:00:00 AM,10.455,,,,,
50,10/17/15 03:00:00 AM,10.259,,,,,
51,10/17/15 05:00:00 AM,9.571,,,,,
52,10/17/15 07:00:00 AM,9.077,,,,,
53,10/17/15 09:00:00 AM,9.669,,,,,
54,10/17/15 11:00:00 AM,12.401,,,,,
55,10/17/15 01:00:00 PM,15.569,,,,,
56,10/17/15 03:00:00 PM,15.091,,,,,
57,10/17/15 05:00:00 PM,11.916,,,,,
58,10/17/15 07:00:00 PM,10.161,,,,,
59,10/17/15 09:00:00 PM,9.176,,,,,
60,10/17/15 11:00:00 PM,9.077,,,,,
61,10/18/15 01:00:00 AM,8.680,,,,,
62,10/18/15 03:00:00 AM,8.082,,,,,
63,10/18/15 05:00:00 AM,7.582,,,,,
64,10/18/15 07:00:00 AM,7.481,,,,,
65,10/18/15 09:00:00 AM,7.481,,,,,
66,10/18/15 11:00:00 AM,8.680,,,,,
67,10/18/15 01:00:00 PM,8.879,,,,,
68,10/18/15 03:00:00 PM,8.680,,,,,
69,10/18/15 05:00:00 PM,8.581,,,,,
70,10/18/15 07:00:00 PM,7.882,,,,,
71,10/18/15 09:00:00 PM,7.582,,,,,
72,10/18/15 11:00:00 PM,7.381,,,,,
73,10/19/15 01:00:00 AM,7.280,,,,,
