"Plot Title: MW-9"
"#","Date Time, GMT-07:00","Temp, °C (LGR S/N: 9995238, SEN S/N: 9995238)","Bad Battery (LGR S/N: 9995238)","End Of File (LGR S/N: 9995238)"
118,10/05/13 07:00:00 AM,1.439,,
119,10/05/13 09:00:00 AM,1.439,,
120,10/05/13 11:00:00 AM,1.439,,
121,10/05/13 01:00:00 PM,1.439,,
122,10/05/13 03:00:00 PM,1.439,,
123,10/05/13 05:00:00 PM,1.439,,
124,10/05/13 07:00:00 PM,1.439,,
125,10/05/13 09:00:00 PM,1.439,,
126,10/05/13 11:00:00 PM,1.439,,
127,10/06/13 01:00:00 AM,1.439,,
128,10/06/13 03:00:00 AM,1.439,,
129,10/06/13 05:00:00 AM,1.439,,
130,10/06/13 07:00:00 AM,1.330,,
131,10/06/13 09:00:00 AM,1.330,,
132,10/06/13 11:00:00 AM,1.330,,
133,10/06/13 01:00:00 PM,1.330,,
134,10/06/13 03:00:00 PM,1.330,,
135,10/06/13 05:00:00 PM,1.330,,
136,10/06/13 07:00:00 PM,1.330,,
137,10/06/13 09:00:00 PM,1.330,,
138,10/06/13 11:00:00 PM,1.330,,
139,10/07/13 01:00:00 AM,1.330,,
140,10/07/13 03:00:00 AM,1.330,,
141,10/07/13 05:00:00 AM,1.330,,
142,10/07/13 07:00:00 AM,1.330,,
143,10/07/13 09:00:00 AM,1.330,,
144,10/07/13 11:00:00 AM,1.330,,
145,10/07/13 01:00:00 PM,1.330,,
146,10/07/13 03:00:00 PM,1.330,,
147,10/07/13 05:00:00 PM,1.330,,
148,10/07/13 07:00:00 PM,1.330,,
149,10/07/13 09:00:00 PM,1.330,,
150,10/07/13 11:00:00 PM,1.221,,
151,10/08/13 01:00:00 AM,1.221,,
152,10/08/13 03:00:00 AM,1.221,,
153,10/08/13 05:00:00 AM,1.221,,
154,10/08/13 07:00:00 AM,1.221,,
155,10/08/13 09:00:00 AM,1.221,,
156,10/08/13 11:00:00 AM,1.221,,
157,10/08/13 01:00:00 PM,1.221,,
