Year,Transect,Site_Num,Site_Code,Site_Loc,calibration,snow_appearance_date,snow_disappearance_date,snow_cover_duration,minimum_soil_temp,SDD,notes
2015,Glacier Basin,9,GB9,GB9_15,0.145993528,10/24/2014,5/22/2015,204,-1.57,142,
2016,Glacier Basin,9,GB9,GB9_15,0,10/27/2015,6/26/2016,240,0.232,178,
2017,Glacier Basin,9,GB9,GB9_15,0,10/17/2016,6/26/2017,240,0.232,177,
2018,Glacier Basin,9,GB9,GB9_15,0,10/8/2017,6/19/2018,255,-0.102,170,
2019,Glacier Basin,9,GB9,GB9_15,0,10/5/2018,6/20/2019,232,-1.799,171,
2020,Glacier Basin,9,GB9,GB9_15,0,10/1/2019,6/21/2020,259,-0.887,173,
2013,Reflection Lakes,1,RL1,RL1_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,1,RL1,RL1_13,0.437850066,10/2/2013,7/1/2014,249,0.232,182,
2015,Reflection Lakes,1,RL1,RL1_13,0.274308333,10/27/2014,5/8/2015,177,-2.261,128,
2016,Reflection Lakes,1,RL1,RL1_13,0,11/4/2015,6/15/2016,224,0.232,167,
2017,Reflection Lakes,1,RL1,RL1_17,0,10/20/2016,7/10/2017,243,0.232,191,
2018,Reflection Lakes,1,RL1,RL1_17,0,10/12/2017,7/5/2018,267,0.121,186,
2019,Reflection Lakes,1,RL1,RL1_17,0,10/6/2018,6/20/2019,229,0.121,171,
2020,Reflection Lakes,1,RL1,RL1_17,0,10/1/2019,7/14/2020,275,0.01,196,
2013,Reflection Lakes,2,RL2,RL2_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,2,RL2,RL2_13,0.362972531,9/30/2013,7/4/2014,270,0.232,185,
2015,Reflection Lakes,2,RL2,RL2_13,0.168084596,10/26/2014,5/20/2015,197,-0.213,140,
2016,Reflection Lakes,2,RL2,RL2_13,0,11/3/2015,6/15/2016,207,0.232,167,
2017,Reflection Lakes,2,RL2,RL2_13,0,10/17/2016,6/22/2017,230,0.121,173,
2018,Reflection Lakes,2,RL2,RL2_13,0,10/12/2017,6/21/2018,246,0.232,172,
2019,Reflection Lakes,2,RL2,RL2_13,0,10/30/2018,6/10/2019,220,0.01,161,
2020,Reflection Lakes,2,RL2,RL2_13,0,10/9/2019,7/3/2020,259,-0.213,185,
2013,Reflection Lakes,3,RL3,RL3_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,3,RL3,RL3_13,0.383372079,9/30/2013,7/2/2014,271,0.121,183,
2015,Reflection Lakes,3,RL3,RL3_13,0.28518125,10/27/2014,5/19/2015,198,-0.774,139,
2016,Reflection Lakes,3a,RL3a,RL3_13,0,10/26/2015,6/6/2016,221,0.121,158,original hobo labeled RL3
2017,Reflection Lakes,3,RL3,RL3_17,0,10/17/2016,7/7/2017,243,0.121,188,
2018,Reflection Lakes,3,RL3,RL3_17,0,10/12/2017,7/4/2018,253,0.121,185,
2019,Reflection Lakes,3,RL3,RL3_17,0,11/4/2018,6/15/2019,224,0.232,166,
2020,Reflection Lakes,3,RL3,RL3_17,NA,NA,NA,NA,NA,NA,
2013,Reflection Lakes,4,RL4,RL4_13,NA,NA,NA,NA,NA,NA,
2016,Reflection Lakes,3b,RL3b,RL4_13,0,10/27/2015,7/2/2016,246,0.01,184,original hobo labeled RL4
2017,Reflection Lakes,4,RL4,RL4_13,0,10/17/2016,7/7/2017,249,0.01,188,
2018,Reflection Lakes,4,RL4,RL4_13,0,10/12/2017,7/2/2018,257,0.121,183,
2019,Reflection Lakes,4,RL4,RL4_13,0,10/5/2018,6/13/2019,227,0.01,164,
2020,Reflection Lakes,4,RL4,RL4_13,0,10/5/2019,7/10/2020,265,-0.325,192,
2014,Reflection Lakes,4,RL4,RL4_14,0.35919493,9/30/2013,7/18/2014,285,0.121,199,
2015,Reflection Lakes,4,RL4,RL4_14,0.289648333,10/27/2014,5/24/2015,197,-2.494,144,
2016,Reflection Lakes,4,RL4,RL4_14,0,10/27/2015,6/27/2016,241,0.232,179,original hobo labeled RL5
2017,Reflection Lakes,5,RL5,RL4_14,0,10/17/2016,7/18/2017,271,0.232,199,
2018,Reflection Lakes,5,RL5,RL4_14,0,10/12/2017,7/11/2018,269,-0.102,192,
2019,Reflection Lakes,5,RL5,RL4_14,0,10/6/2018,6/16/2019,229,0.121,167,
2020,Reflection Lakes,5,RL5,RL4_14,0,10/5/2019,7/16/2020,276,-0.325,198,
2013,Reflection Lakes,5,RL5,RL5_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,5,RL5,RL5_13,0.283898148,9/29/2013,7/16/2014,279,-1.799,197,
2015,Reflection Lakes,5,RL5,RL5_13,0.218992308,10/26/2014,5/20/2015,194,-2.03,140,
2016,Reflection Lakes,5a,RL5a,RL5_13,0,10/27/2015,7/10/2016,255,0.121,192,original hobo labeled RL6
2017,Reflection Lakes,6,RL6,RL5_13,NA,NA,NA,NA,NA,NA,
2018,Reflection Lakes,6,RL6,RL5_13,0.22330811,10/12/2017,7/6/2018,261,-0.549,187,
2019,Reflection Lakes,6,RL6,RL5_13,0,10/6/2018,6/16/2019,229,0.121,167,
2020,Reflection Lakes,6,RL6,RL5_13,0,10/9/2019,7/14/2020,270,-1.228,196,
2016,Reflection Lakes,5b,RL5b,RL5b_16,0,10/26/2015,6/27/2016,244,0.232,179,original hobo labeled RL7
2017,Reflection Lakes,7,RL7,RL5b_16,0,10/17/2016,7/14/2017,270,0.01,195,
2018,Reflection Lakes,7,RL7,RL5b_16,NA,NA,NA,NA,NA,NA,
2019,Reflection Lakes,7,RL7,RL5b_16,0,10/5/2018,7/1/2019,244,0.121,182,
2020,Reflection Lakes,7,RL7,RL5b_16,0,10/1/2019,7/25/2020,289,-0.437,207,
2013,Reflection Lakes,6,RL6,RL6_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,6,RL6,RL6_13,NA,NA,NA,NA,NA,NA,
2015,Reflection Lakes,6,RL6,RL6_13,0.127664216,10/24/2014,5/30/2015,204,-5.249,150,
2016,Reflection Lakes,6,RL6,RL6_13,0,10/26/2015,7/9/2016,256,0.121,191,original hobo labeled RL 8
2013,Reflection Lakes,7,RL7,RL7_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,7,RL7,RL7_13,0.300175958,9/30/2013,7/23/2014,287,-0.549,204,
2015,Reflection Lakes,7,RL7,RL7_13,0.291554087,10/24/2014,5/29/2015,207,-2.727,149,
2016,Reflection Lakes,7,RL7,RL7_13,0,10/26/2015,6/30/2016,246,0.121,182,original hobo labeled RL9
2017,Reflection Lakes,9,RL9,RL7_13,0,10/17/2016,7/13/2017,270,0.01,194,
2018,Reflection Lakes,9,RL9,RL7_13,NA,NA,NA,NA,NA,NA,
2019,Reflection Lakes,9,RL9,RL7_13,0,10/5/2018,6/26/2019,241,0.01,177,
2020,Reflection Lakes,9,RL9,RL7_13,NA,NA,NA,NA,NA,NA,
2013,Reflection Lakes,8,RL8,RL8_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,8,RL8,RL8_13,0.2309277,9/30/2013,7/20/2014,287,-0.437,201,
2015,Reflection Lakes,8,RL8,RL8_13,0.133458539,10/23/2014,5/29/2015,203,-8.314,149,
2016,Reflection Lakes,8,RL8,RL8_13,0,10/27/2015,6/24/2016,238,0.232,176,original hobo labeled RL10
2017,Reflection Lakes,10,RL10,RL8_13,0,10/17/2016,7/16/2017,271,0.01,197,
2018,Reflection Lakes,10,RL10,RL8_13,NA,NA,NA,NA,NA,NA,
2019,Reflection Lakes,10,RL10,RL8_13,0,10/5/2018,6/25/2019,241,0.01,176,
2020,Reflection Lakes,10,RL10,RL8_13,0,10/5/2019,7/27/2020,283,-1.799,209,
2017,Reflection Lakes,8,RL8,RL8_17,0,10/17/2016,7/11/2017,265,0.01,192,
2018,Reflection Lakes,8,RL8,RL8_17,NA,NA,NA,NA,NA,NA,
2019,Reflection Lakes,8,RL8,RL8_17,0,10/5/2018,6/27/2019,242,-0.325,178,
2020,Reflection Lakes,8,RL8,RL8_17,NA,NA,NA,NA,NA,NA,
2013,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,
2014,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,
2015,Reflection Lakes,9,RL9,RL9_13,0.255873272,10/16/2014,6/8/2015,217,-5.003,159,
2016,Reflection Lakes,9,RL9,RL9_13,NA,NA,NA,NA,NA,NA,
2017,Reflection Lakes,11,RL11,RL9_13,0,10/17/2016,7/14/2017,268,0.232,195,
2018,Reflection Lakes,11,RL11,RL9_13,NA,NA,NA,NA,NA,NA,
2019,Reflection Lakes,11,RL11,RL9_13,NA,NA,NA,NA,NA,NA,
2020,Reflection Lakes,11,RL11,RL9_13,0,10/1/2019,7/24/2020,287,-3.316,206,
