year,plot,SDD,species,peak,duration,max
2013,RL1,176,ERPE,216.014399587751,-0.0263372595333715,3.20791085146663
2013,RL1,176,LUAR,209.814515043266,-1.75452712433177,135.626422310903
2013,RL2,183,VASI,212.830229013338,-0.00846936948946584,2.83487144605619
2013,RL2,183,PEBR,212.848943852535,-0.0279277786488658,2.94250099019167
2013,RL2,183,CAPA,222.899854252279,-0.00293265596054902,1.50351533935746
2013,RL2,183,LUAR,216.188233927466,-0.0187037815141409,2.16024581732511
2013,RL3,181,VASI,209.07530445224,-0.022444634741318,2.85276615164676
2013,RL3,181,ERPE,233.869113541823,-0.00332766761785317,-0.413675390275502
2013,RL3,181,LUAR,208.998386808974,-0.0690963455165162,4.65150742579875
2013,RL4,192,PEBR,219.105601349286,-0.0329218440474226,2.18296611474054
2013,RL4,192,VASI,218.910121758733,-0.0161591055664893,-0.785722759792751
2013,RL4,192,CAPA,221.052052247885,-0.00569530654124054,1.72351433004585
2013,RL4,192,ERMO,198.860705922887,-0.00721652953309602,-0.0856522980453238
2013,RL5,188,CAPA,242.503933157887,-0.00247140596156983,0.727593693497283
2013,RL5,188,VASI,221.898873184427,-0.0210132522680891,4.85645337876129
2013,RL5,188,LUAR,227.02328002107,-0.0193673163051759,2.97463083372133
2013,RL5,188,ERPE,232.738875451232,-0.0173653219517448,1.04792473276367
2013,RL5,188,ERMO,204.236189091095,-2.36618743951569,92.714702222606
2013,RL6,195,PEBR,221.334445515269,-0.0224020329273404,0.787520266184372
2013,RL6,195,VASI,228.531009914542,-0.0096150988763491,1.83492412006715
2013,RL6,195,ANOC,203.290751164685,-0.0119074338649457,1.21032512745928
2013,RL6,195,CAPA,218.947639147394,-0.0098609826667622,-0.223578969255392
2013,RL6,195,LUAR,230.096526893112,-0.0212655251029659,4.0234182510886
2013,RL6,195,ERPE,237.215946628047,-0.00860791847070802,0.275047682391066
2013,RL7,194,ANOC,209.786895042774,-0.0345244519924944,2.32400250414119
2013,RL7,194,CAPA,223.702323411129,-0.0148021295982489,3.71720713524955
2013,RL7,194,LUAR,226.220475947719,-1.78959204293019,152.838441345653
2013,RL7,194,ERPE,235.213624674287,-0.0205431446666742,2.55791161455384
2013,RL8,193,ERPE,237.328452058573,-0.0513286676682536,8.34022841879399
2013,RL8,193,ANOC,212.429979575884,-0.0559538273101026,3.81092760905728
2013,RL8,193,CAPA,230.621679732271,-0.019013563278927,4.79252332296745
2013,RL8,193,LUAR,233.60722301444,-0.0278225596138968,3.75078319153097
2013,RL8,193,VASI,236.110989482644,-0.0104768538254139,2.87595312613233
2013,RL9,197,LUAR,222.576068758072,-0.1130059127349,10.0461821604573
2013,RL9,197,ANOC,205.397314799081,-0.0159872445995522,-0.00785418376476149
2013,RL9,197,ERPE,241.660974330175,-0.00616560495353594,-0.0378503760269991
2013,RL9,197,CAPA,226.8636482769,-0.0114206152811916,3.95594469280057
2014,RL1,181,LUAR,211.060714021844,-0.020816562456628,1.67431140197827
2014,RL1,181,ERPE,215.23075023275,-0.0697139366677335,5.19548282865069
2014,RL2,183,LUAR,218.040814386181,-0.0562610471411857,2.94868122450503
2014,RL2,183,CAPA,221.533485218539,-0.0157732008745294,2.53780017955725
2014,RL2,183,PEBR,216.599522583111,-0.0147826319641735,1.10359237456
2014,RL2,183,VASI,216.390338970273,-0.0171448374162256,3.26634881236384
2014,RL3,181,LUAR,214.432383920921,-0.00453833662525829,-0.526636003171549
2014,RL3,181,VASI,207.510478579157,-0.0347952842335073,5.75572394311988
2014,RL4,196,VASI,238.687879131219,-0.0394645721093248,13.8244062459026
2014,RL4,196,LUAR,235.568136505119,-0.0207980573745614,4.25204832222083
2014,RL4,196,PEBR,229.752352179733,-0.112259634424707,5.68903152855926
2014,RL4,196,ERPE,240.59893958558,-0.00955498715987502,0.371287314547595
2014,RL5,193,ERPE,236.978477233845,-0.0547800889892833,13.2467546028128
2014,RL5,193,ERMO,211.176728193662,-0.0134584472718914,0.0480957407777126
2014,RL5,193,VASI,233.114787409634,-0.0109989549905289,4.43005244373253
2014,RL5,193,LUAR,235.757520224156,-0.0166882209807476,4.97043086248242
2014,RL6,196,CAPA,228.001315392919,-0.00571170087941397,-0.0724528386016657
2014,RL6,196,PEBR,223.913569403638,-0.0132092630303987,0.740159583028166
2014,RL6,196,VASI,233.57960142669,-0.00599028500361277,-0.337418260497708
2014,RL6,196,LUAR,234.925851655586,-0.0280140290163075,5.27694886169599
2014,RL6,196,ANOC,214.243781356288,-0.00524598274783722,-0.319573883307854
2014,RL6,196,ERPE,237.623611303169,-0.0174797069592891,4.30179479345984
2014,RL7,197,CAPA,246.763522445002,-0.00580532296077383,0.372618888226007
2014,RL7,197,ANOC,212.837056942986,-0.0614048229531966,0.65536333817533
2014,RL7,197,LUAR,229.518056817982,-0.0397165466064975,4.30876087116244
2014,RL7,197,ERPE,234.316093957477,-0.0260369037598487,3.05744335950372
2014,RL8,194,LUAR,235.448683229987,-0.0235081473037845,4.09923568616062
2014,RL8,194,ANOC,212.42828220022,-0.0403200937512884,1.6297436468638
2014,RL8,194,CAPA,232.185333106352,-0.0114456386616721,4.09886877473714
2014,RL8,194,VASI,230.548416240215,-0.0061864100171978,-0.354040035532848
2014,RL8,194,ERPE,241.461949482159,-0.00810016379083297,2.60548501353972
2014,RL9,193,ANOC,212.521512943485,-1.24188429175939,52.1233873759897
2014,RL9,193,LUAR,234.588949230038,-0.0423862819734596,9.02078495479945
2014,RL9,193,ERPE,242.500988020309,-0.0123435121694637,2.27895388203871
2014,RL9,193,CAPA,238.217483103875,-0.00292183631525855,2.11631044045479
2015,GB10,125,LUAR,181.380903291565,-0.00253094851159245,0.451293755465572
2015,GB10,125,VASI,186.156266066455,-0.00808926824306257,0.553247727555536
2015,GB10,125,PEBR,179.129712658732,-0.00867234101990574,0.712097123643659
2015,GB11,130,LUAR,186.684015419908,-0.00178894409402993,0.0638247641563034
2015,GB11,130,CAMI,165.873261797259,-0.00714069590950564,6.56945174630361
2015,GB11,130,ASLE,205.853591170685,-0.00907435126880492,3.85679374140056
2015,GB11,130,VASI,167.182068614802,-0.0716802559916337,3.29524145211004
2015,GB12,144,LUAR,181.440053034081,-0.00833447038618085,0.919133816770036
2015,GB12,144,VASI,183.218961972926,-0.0090753629652633,0.310884920656342
2015,GB12,144,ASLE,211.166149305004,-0.00313250271131646,2.68153865676839
2015,GB12,144,CAMI,198.411947496057,-0.00572242352294521,0.880542208079938
2015,GB13,123,LUAR,180.572014658521,-0.0113469259897717,2.1301331841639
2015,GB13,123,ASLE,207.917723557763,-0.00562130453139483,3.21225374614202
2015,GB13,123,PEBR,174.001103990528,-0.0307534886205857,2.76697074052485
2015,GB13,123,VASI,179.9998708945,-0.00725309271177318,3.71450399873328
2015,GB14,136,CAMI,199.14503886585,-0.00991197617780508,5.46497868042837
2015,GB14,136,VASI,172.256102179543,-0.0280801643779592,5.34149975131759
2015,GB14,136,ASLE,199.80396157523,-0.00656066860351431,2.90753767770721
2015,GB14,136,LUAR,175.536865399379,-3.95077479193028,677.657134850866
2015,GB15,135,ASLE,178.313292219847,-0.00328106135972543,-0.101971997418545
