species,peakint,peakSDDslope
ANOC,128.433094121196,0.367993475077938
ASLE,142.163382772758,0.56606968550222
CAMI,139.855962061678,0.469761101228652
CAPA,124.804226871236,0.518290187570024
ERGR,128.629596820261,0.294972356947801
ERMO,132.308467248927,0.351346013054819
ERPE,133.770141414965,0.51295777903597
LUAR,133.113764512335,0.486013149268182
PEBR,129.31869747205,0.474340617967627
VASI,130.792431259705,0.461584843239431
