Species,Year,Site,Phenophase,SDD,Opt,Duration,Height
ANOC,2017,RL9,flwr,195,201.9212,4.8003,12.0341
ANOC,2017,GB16,flwr,177,200.6621,8.7546,35.802
ANOC,2017,RL10,flwr,197,206.1885,8.4503,21.187
ANOC,2017,RL11,flwr,195,203.648,2.7583,3.4499
ANOC,2017,RL8,fruit,192,231.5002,21.9592,51.7336
ANOC,2017,RL9,fruit,195,233.5068,20.4382,50.1119
ANOC,2017,GB17,fruit,183,215.1018,11.673,30.9379
ANOC,2017,RL10,fruit,197,230.6293,19.6576,49.2831
ANOC,2017,RL11,fruit,195,224.7178,17.2473,7.3621
ANOC,2017,RL8,seed,192,253.2385,18.0737,45.3442
ANOC,2017,RL9,seed,195,249.1117,14.952,32.8839
ANOC,2017,RL10,seed,197,250.8535,18.4621,34.8555
ANOC,2017,RL11,seed,195,234.6998,26.0344,3.2329
ANOC,2018,RL8,bud,192,196.6045,5.2383,3.4507
ANOC,2018,RL9,bud,192,196.8598,8.4688,5.0614
ANOC,2018,RL10,bud,193,192.9523,3.3405,8.3743
ANOC,2018,RL8,flwr,192,184.4451,19.534,22.8489
ANOC,2018,RL9,flwr,192,196.9814,7.2874,17.7574
ANOC,2018,RL10,flwr,193,194.2184,17.8373,20.57
ANOC,2018,RL11,flwr,193,189.5819,19.0683,20.4964
ANOC,2018,RL8,fruit,192,228.4212,24.6703,61.8482
ANOC,2018,RL9,fruit,192,224.4465,20.9263,47.8245
ANOC,2018,RL10,fruit,193,230.0005,23.0761,57.8974
ANOC,2018,RL11,fruit,193,236.3165,28.4476,65.0597
ANOC,2018,RL8,seed,192,255.1774,15.032,34.6767
ANOC,2018,RL9,seed,192,249.0118,20.5654,51.6122
ANOC,2018,RL10,seed,193,242.9998,18.1507,45.5662
ANOC,2018,RL11,seed,193,259.2745,18.0259,17.1424
ARLA,2015,GB10,bud,125,169.8737,6.912,17.9743
ARLA,2015,GB11,bud,130,189.8869,11.2445,11.2297
ARLA,2015,GB5,bud,116,166.5783,19.4755,48.8292
ARLA,2015,GB7,bud,113,196.274,10.2142,10.3665
ARLA,2015,GB8,bud,133,196.2711,10.004,9.2757
ARLA,2015,GB9,bud,143,176.0598,13.4279,33.7413
ARLA,2015,GB10,flwr,125,184.4999,11.8052,29.831
ARLA,2015,GB13,flwr,123,217.2256,29.7056,7.4785
ARLA,2015,GB5,flwr,116,179.3241,17.1791,43.0693
ARLA,2015,GB9,flwr,143,192.5,10.5565,26.7296
ARLA,2015,GB10,fruit,125,193.1299,5.8804,7.0503
ARLA,2015,GB11,fruit,130,224.1401,28.9948,23.8352
ARLA,2015,GB13,fruit,123,217.6386,26.3873,7.2976
ARLA,2015,GB5,fruit,116,197.2324,15.5167,37.0255
ARLA,2015,GB7,fruit,113,236.7657,23.2412,23.4005
ARLA,2015,GB8,fruit,133,210.0978,19.6762,8.7591
ARLA,2015,GB9,fruit,143,199.6444,9.101,17.4976
ARLA,2015,GB10,seed,125,199.4465,5.7562,10.6237
ARLA,2015,GB11,seed,130,250.7303,25.3792,12.7167
ARLA,2015,GB13,seed,123,243.4954,17.1594,12.7748
ARLA,2015,GB5,seed,116,226.5867,22.7664,52.1064
ARLA,2015,GB7,seed,113,254.8232,29.2015,13.1985
ARLA,2015,GB9,seed,143,216.6179,16.9087,42.3946
ARLA,2016,GB10,bud,154,204.8146,12.4621,31.2412
ARLA,2016,GB11,bud,154,214.2985,8.0623,4.7795
ARLA,2016,GB5,bud,127,193.5845,13.8286,34.6789
ARLA,2016,GB7,bud,156,217.0365,18.7672,24.1049
ARLA,2016,GB9,bud,178,207,12.6565,31.8243
ARLA,2016,GB10,flwr,154,223.2895,17.3167,43.4125
ARLA,2016,GB5,flwr,127,208.6653,21.2437,49.4091
ARLA,2016,GB7,flwr,156,226.1867,8.7812,14.7681
ARLA,2016,GB9,flwr,178,224.9068,16.2793,40.8696
ARLA,2016,GB10,fruit,154,246.0673,9.5409,21.3025
ARLA,2016,GB5,fruit,127,220.443,20.5597,41.0015
ARLA,2016,GB7,fruit,156,250.4317,6.4578,16.25
ARLA,2016,GB9,fruit,178,236.6744,10.7642,27.0349
ARLA,2016,GB10,seed,154,252.4994,11.1372,28.1711
ARLA,2016,GB5,seed,127,252.8466,14.8118,25.9933
ARLA,2016,GB7,seed,156,243.7424,5.8221,8.2305
ARLA,2016,GB9,seed,178,257.4083,11.0877,28.0177
ARLA,2017,GB10,bud,176,206.3936,8.8547,21.3387
ARLA,2017,GB11,bud,175,202.4563,9.2796,20.3562
ARLA,2017,GB4,bud,149,192.0885,7.7979,17.53
ARLA,2017,GB9,bud,177,207.7171,8.9734,21.9261
ARLA,2017,GB16,bud,177,213.224,8.7947,3.4056
ARLA,2017,GB10,flwr,176,220.5596,13.2336,33.1902
ARLA,2017,GB11,flwr,175,216.4676,9.0906,23.6419
ARLA,2017,GB4,flwr,149,206.843,11.4928,28.8859
ARLA,2017,GB9,flwr,177,218.4971,10.7196,26.8996
ARLA,2017,GB16,flwr,177,215.3801,5.8323,5.3068
ARLA,2017,GB10,fruit,176,231.6708,8.8248,22.1359
ARLA,2017,GB11,fruit,175,225.5492,7.6268,15.7314
ARLA,2017,GB4,fruit,149,214.5748,13.8058,29.611
ARLA,2017,GB9,fruit,177,233.4055,8.9029,22.3393
ARLA,2017,GB10,seed,176,242.3837,15.7287,40.3489
ARLA,2017,GB11,seed,175,227.0405,3.742,9.3803
ARLA,2017,GB4,seed,149,234.66,13.1948,30.8175
ARLA,2017,GB6,seed,174,221.9811,7.5248,2.6585
ARLA,2017,GB9,seed,177,238.4997,8.6281,21.6636
ARLA,2018,GB10,bud,163,203.2484,9.4925,21.8648
ARLA,2018,GB11,bud,160,214.8345,2.5913,3.1388
ARLA,2018,GB4,bud,141,219.3696,38.1646,39.5691
ARLA,2018,GB5,bud,128,240.5542,17.9335,31.4084
ARLA,2018,GB6,bud,145,246.1371,17.8016,29.2793
ARLA,2018,GB9,bud,171,207.065,17.013,39.5314
ARLA,2018,GB10,flwr,163,216.5,12.0344,30.4009
ARLA,2018,GB11,flwr,160,232.2962,10.6183,24.891
ARLA,2018,GB4,flwr,141,229.1216,31.9234,25.589
ARLA,2018,GB5,flwr,128,241.3214,11.5995,27.6512
ARLA,2018,GB9,flwr,171,216.9668,10.7069,26.9635
ARLA,2018,GB10,fruit,163,230.2764,9.01,14.7477
ARLA,2018,GB11,fruit,160,252.9696,20.7446,20.6184
ARLA,2018,GB4,fruit,141,233.8451,17.3639,25.2595
ARLA,2018,GB5,fruit,128,249.246,11.9933,16.8638
ARLA,2018,GB6,fruit,145,240.0236,5.1937,5.5726
ARLA,2018,GB9,fruit,171,228.6015,10.9303,27.6938
ARLA,2018,GB10,seed,163,243.4642,13.4249,33.6713
ARLA,2018,GB11,seed,160,260.9107,7.8112,19.7132
ARLA,2018,GB4,seed,141,235.3512,11.401,10.4124
ARLA,2018,GB6,seed,145,240.9924,12.0985,6.022
ARLA,2018,GB9,seed,171,244.7054,11.2613,24.7207
ASLE,2015,GB11,bud,130,190.3611,10.332,20.1178
ASLE,2015,GB12,bud,144,181.1047,20.5541,51.741
ASLE,2015,GB13,bud,123,189.3898,11.4484,28.7135
ASLE,2015,GB14,bud,136,189.0113,12.5079,29.8724
ASLE,2015,GB8,bud,133,182.9777,12.1573,11.0998
ASLE,2015,GB11,flwr,130,205.3795,15.2263,38.1983
ASLE,2015,GB12,flwr,144,204.7429,25.9635,64.2439
ASLE,2015,GB13,flwr,123,205.1173,16.8746,42.3562
ASLE,2015,GB14,flwr,136,196.2046,15.3778,37.8456
ASLE,2015,GB15,flwr,135,176.2995,13.8823,18.8878
ASLE,2015,GB8,flwr,133,194.58,10.8307,24.827
ASLE,2015,GB11,fruit,130,214.9709,14.4603,24.7852
ASLE,2015,GB12,fruit,144,217.9138,24.4537,52.7165
ASLE,2015,GB13,fruit,123,222.8196,18.5969,40.7867
ASLE,2015,GB14,fruit,136,209.4189,15.5529,33.8601
ASLE,2015,GB15,fruit,135,208.5459,20.8087,14.2669
ASLE,2015,GB8,fruit,133,219.7827,24.1484,35.4443
ASLE,2015,GB11,seed,130,239.9605,23.2245,51.3239
ASLE,2015,GB12,seed,144,249.0334,17.138,52.8507
ASLE,2015,GB13,seed,123,237.3111,19.9783,42.3002
ASLE,2015,GB14,seed,136,244.913,22.1203,47.6222
ASLE,2015,GB15,seed,135,239.9352,38.5284,22.3166
ASLE,2015,GB8,seed,133,235.3287,21.4718,45.255
ASLE,2016,GB11,bud,154,217.1536,11.5741,17.6855
ASLE,2016,GB12,bud,172,230.2909,16.3558,37.2221
ASLE,2016,GB13,bud,141,209.6515,18.1522,20.2387
ASLE,2016,GB14,bud,165,209.8147,14.2658,29.4346
ASLE,2016,GB11,flwr,154,232.4835,11.0536,27.7337
ASLE,2016,GB12,flwr,172,246.4722,13.7184,34.9498
ASLE,2016,GB13,flwr,141,231.5027,10.4654,26.2626
ASLE,2016,GB14,flwr,165,229.9536,15.0252,37.6628
ASLE,2016,GB15,flwr,173,218.993,10.2605,16.1029
ASLE,2016,GB11,fruit,154,246.1967,8.3072,20.8881
ASLE,2016,GB12,fruit,172,252.2345,14.3512,36.1065
ASLE,2016,GB13,fruit,141,243.3175,10.2127,14.4121
ASLE,2016,GB14,fruit,165,246.5,16.1381,40.9406
ASLE,2016,GB15,fruit,173,239.4482,10.0993,5.7739
ASLE,2016,GB8,fruit,155,251.8958,14.0674,8.0527
ASLE,2016,GB11,seed,154,258.7779,11.0691,19.643
ASLE,2016,GB13,seed,141,258.0567,15.4378,21.908
ASLE,2016,GB14,seed,165,252.6232,14.8127,24.564
ASLE,2016,GB8,seed,155,259.0347,14.0312,20.0941
ASLE,2017,GB11,bud,175,209.2842,9.2162,19.3117
ASLE,2017,GB12,bud,179,218.8818,11.9651,27.8542
ASLE,2017,GB13,bud,169,212.0921,14.1436,32.6528
ASLE,2017,GB14,bud,174,209.5598,13.2932,33.3395
ASLE,2017,GB5,bud,149,220.4893,6.4694,16.2628
ASLE,2017,GB8,bud,174,208.0299,7.0102,17.5722
ASLE,2017,GB16,bud,177,222.6124,12.377,27.5706
ASLE,2017,GB17,bud,183,223.2357,11.5842,26.6459
ASLE,2017,GB11,flwr,175,228.0178,10.0967,25.3088
ASLE,2017,GB12,flwr,179,232.5,11.5635,29.0126
ASLE,2017,GB13,flwr,169,227.4167,11.6921,29.3264
ASLE,2017,GB14,flwr,174,228.1724,15.2891,38.0253
ASLE,2017,GB5,flwr,149,227.2989,5.6732,14.2403
ASLE,2017,GB8,flwr,174,227.2837,6.3526,13.7154
ASLE,2017,GB16,flwr,177,229.6984,13.8281,32.8766
ASLE,2017,GB17,flwr,183,230.4988,13.0498,32.735
ASLE,2017,GB11,fruit,175,239.0072,9.923,24.8732
ASLE,2017,GB12,fruit,179,247.2284,9.5655,28.1986
ASLE,2017,GB13,fruit,169,236.7488,9.7929,22.7518
ASLE,2017,GB14,fruit,174,230.5,9.5274,23.9147
ASLE,2017,GB8,fruit,174,236.719,11.0694,20.1256
ASLE,2017,GB16,fruit,177,234.8193,4.6588,8.8819
ASLE,2017,GB17,fruit,183,245.9293,9.7551,31.4693
ASLE,2017,GB11,seed,175,250.6113,11.3121,29.6565
ASLE,2017,GB13,seed,169,247.9325,8.8645,19.4303
ASLE,2017,GB14,seed,174,249.1834,12.9053,34.6821
ASLE,2017,GB8,seed,174,246.6614,11.2293,19.9276
ASLE,2017,GB16,seed,177,247.1415,8.2327,18.9684
ASLE,2017,GB17,seed,183,247.7576,5.1,27.0389
ASLE,2018,GB11,bud,160,209.6687,14.5715,20.21
ASLE,2018,GB12,bud,171,224.6563,19.3438,48.5157
ASLE,2018,GB13,bud,164,213.2368,15.8459,21.601
ASLE,2018,GB14,bud,157,206.9807,11.4134,21.917
ASLE,2018,GB5,bud,128,219.571,12.8098,6.8059
ASLE,2018,GB16,bud,146,222.2448,20.8284,39.4822
ASLE,2018,GB11,flwr,160,220.7437,8.3286,20.8866
ASLE,2018,GB12,flwr,171,240.4832,21.373,52.0145
ASLE,2018,GB13,flwr,164,227.8196,17.9023,18.5781
ASLE,2018,GB14,flwr,157,219.5,9.9102,25.1273
ASLE,2018,GB16,flwr,146,234.5742,19.9844,43.8105
ASLE,2018,GB11,fruit,160,240.9429,10.1453,20.9256
ASLE,2018,GB12,fruit,171,249.6913,14.887,34.0515
ASLE,2018,GB13,fruit,164,241.3638,13.5205,8.7087
ASLE,2018,GB14,fruit,157,232.6143,12.4755,26.1665
ASLE,2018,GB16,fruit,146,243.2336,11.8066,28.807
ASLE,2018,GB14,seed,157,246.2855,10.8827,22.3664
CAMI,2015,GB12,bud,144,193.3164,11.8334,9.3895
CAMI,2015,GB14,bud,136,182.5,14.2072,35.6343
CAMI,2015,GB2,bud,104,149.6729,29.6879,74.4909
CAMI,2015,GB7,bud,113,177.6249,4.8408,12.2357
CAMI,2015,GB11,flwr,130,184.5064,9.0518,23.0005
CAMI,2015,GB12,flwr,144,198.09,12.348,21.953
CAMI,2015,GB14,flwr,136,197.5464,17.3231,43.4375
CAMI,2015,GB2,flwr,104,180.7017,22.6109,56.7707
CAMI,2015,GB6,flwr,116,183.3104,8.3315,20.8984
CAMI,2015,GB7,flwr,113,188,6.1743,15.6811
CAMI,2015,GB11,fruit,130,189.4925,5.9026,12.8902
CAMI,2015,GB12,fruit,144,215.1477,11.7483,16.9421
CAMI,2015,GB14,fruit,136,219.5293,18.0577,42.2883
CAMI,2015,GB2,fruit,104,199.0969,16.5624,37.9243
CAMI,2015,GB6,fruit,116,202.5577,11.7196,29.4098
CAMI,2015,GB7,fruit,113,195.5809,1.2308,3.2693
CAMI,2015,GB11,seed,130,223.5948,14.9867,15.6576
CAMI,2015,GB12,seed,144,226.8531,4.1875,5.7511
CAMI,2015,GB14,seed,136,229.0418,15.2474,31.8105
CAMI,2015,GB2,seed,104,230.1342,19.9901,41.5787
CAMI,2016,GB11,bud,154,213.1924,17.8051,37.9848
CAMI,2016,GB12,bud,172,217.1094,19.7742,38.1498
CAMI,2016,GB14,bud,165,219.5565,19.0346,46.7814
CAMI,2016,GB2,bud,121,183.5975,31.7583,74.5698
CAMI,2016,GB6,bud,106,190.7659,12.9618,30.5024
CAMI,2016,GB7,bud,156,210.389,10.9384,19.3668
CAMI,2016,GB9,bud,178,206.3967,12.9224,51.3184
CAMI,2016,GB11,flwr,154,217.1803,13.206,18.9311
CAMI,2016,GB12,flwr,172,238.1913,16.0761,35.1458
CAMI,2016,GB14,flwr,165,230.835,14.6798,29.7551
CAMI,2016,GB2,flwr,121,205.317,28.1789,70.6385
CAMI,2016,GB6,flwr,106,211.0387,15.7388,15.7611
CAMI,2016,GB7,flwr,156,219.7536,5.1631,10.8557
CAMI,2016,GB12,fruit,172,255.5491,9.1694,18.829
CAMI,2016,GB2,fruit,121,216.5,17.0871,43.2919
CAMI,2016,GB6,fruit,106,217.9858,11.7641,14.6116
CAMI,2016,GB7,fruit,156,233.2784,3.758,7.7812
CAMI,2016,GB9,fruit,178,233.4323,3.4708,8.7677
CAMI,2016,GB2,seed,121,233.2536,16.5443,37.8676
CAMI,2017,GB11,bud,175,210.8316,5.3334,13.3755
CAMI,2017,GB12,bud,179,207.8174,3.7853,6.8507
CAMI,2017,GB14,bud,174,207.6731,11.5289,28.9103
CAMI,2017,GB2,bud,148,190.2976,15.2744,37.0878
CAMI,2017,GB6,bud,174,212.2247,8.8834,4.9631
CAMI,2017,GB11,flwr,175,225,7.8509,19.8395
CAMI,2017,GB12,flwr,179,220.2385,8.3117,18.431
CAMI,2017,GB14,flwr,174,221.4996,14.0812,35.3186
CAMI,2017,GB2,flwr,148,201.55,16.4841,41.3348
