"out_filename","filename","filepath","n_measurements","log_interval","date_min","date_max","date_lab","temp_min","temp_max","hobo","ibutton","formatted","datetime","tz"
"MW_soil_GB-14_2017-10-2018-06.csv","GB-14","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-14.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:36:00,"2017-10-2018-06",-3.197,43.359,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-15_2017-10-2018-06.csv","GB-15","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-15.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:39:43,"2017-10-2018-06",0.121,25.125,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-16_2017-10-2018-06.csv","GB-16","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-16.csv",3226,2,2017-10-03 13:00:00,2018-06-29 08:39:03,"2017-10-2018-06",-0.213,25.222,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-17_2017-10-2018-06.csv","GB-17","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-17.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:35:50,"2017-10-2018-06",0.01,25.028,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-2_2017-10-2018-06.csv","GB-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-2.csv",3250,2,2017-10-01 13:00:00,2018-06-29 08:50:33,"2017-10-2018-06",-2.494,43.48,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-3_2017-10-2018-06.csv","GB-3","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-3.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:42:50,"2017-10-2018-06",-3.197,53.313,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-4_2017-10-2018-06.csv","GB-4","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-4.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:25:08,"2017-10-2018-06",0.121,25.319,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-5_2017-10-2018-10.csv","GB-5","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-5.csv",4370,2,2017-10-02 13:00:00,2018-10-01 15:13:39,"2017-10-2018-10",0.232,22.717,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-6_2017-10-2018-06.csv","GB-6","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-6.csv",3238,2,2017-10-02 13:00:00,2018-06-29 08:44:16,"2017-10-2018-06",0.343,25.028,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-7_2017-10-2018-06.csv","GB-7","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-7.csv",3226,2,2017-10-03 13:00:00,2018-06-29 08:44:01,"2017-10-2018-06",0.232,25.125,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-8_2017-10-2018-10.csv","GB-8","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-8.csv",4358,2,2017-10-03 13:00:00,2018-10-01 15:27:31,"2017-10-2018-10",0.01,22.908,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-9_2017-10-2018-08.csv","GB-9","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 GB/GB-9.csv",3781,2,2017-10-02 13:00:00,2018-08-13 13:21:10,"2017-10-2018-08",-0.102,30.154,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-1_2017-10-2018-08.csv","RL-1","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-1.csv",3661,2,2017-10-12 13:00:00,2018-08-13 13:05:39,"2017-10-2018-08",0.121,27.567,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-2_2017-10-2018-06.csv","RL-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-2.csv",3118,2,2017-10-12 13:00:00,2018-06-29 08:48:54,"2017-10-2018-06",0.232,23.484,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-3_2017-10-2018-08.csv","RL-3","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-3.csv",3661,2,2017-10-12 13:00:00,2018-08-13 13:06:33,"2017-10-2018-08",0.121,27.567,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-4_0_2017-10-2018-08.csv","RL-4_0","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-4_0.csv",3661,2,2017-10-12 13:00:00,2018-08-13 13:15:53,"2017-10-2018-08",0.121,28.258,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-5_2017-10-2018-08.csv","RL-5","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-5.csv",3661,2,2017-10-12 13:00:00,2018-08-13 13:06:16,"2017-10-2018-08",-0.102,30.862,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_RL-6_2017-10-2018-07.csv","RL-6","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2018 RL/RL-6.csv",3286,2,2017-10-12 13:00:00,2018-07-13 07:00:00,"2017-10-2018-07",-0.549,31.778,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-1_2018-09-2019-06.csv","GB-1","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-1.csv",3217,2,2018-09-26 13:00:00,2019-06-21 14:59:20,"2018-09-2019-06",-0.549,28.953,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-10_2018-09-2019-07.csv","GB-10","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-10.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:56:54,"2018-09-2019-07",-5.87,22.429,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-11_2018-09-2019-07.csv","GB-11","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-11.csv",3337,2,2018-09-26 13:00:00,2019-07-01 13:57:58,"2018-09-2019-07",-0.213,28.06,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-13_2018-09-2019-07.csv","GB-13","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-13.csv",3702,2,2018-09-26 13:00:00,2019-07-31 23:00:00,"2018-09-2019-07",-2.494,50.042,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-14_2018-09-2019-07.csv","GB-14","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-14.csv",3337,2,2018-09-26 13:00:00,2019-07-01 14:01:22,"2018-09-2019-07",-1.114,24.835,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-15_2018-09-2019-07.csv","GB-15","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-15.csv",3337,2,2018-09-26 13:00:00,2019-07-01 14:08:36,"2018-09-2019-07",-2.727,22.333,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-16_2018-09-2019-07.csv","GB-16","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-16.csv",3337,2,2018-09-26 13:00:00,2019-07-01 14:07:00,"2018-09-2019-07",-1.684,23.1,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-17_2018-09-2019-07.csv","GB-17","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-17.csv",3337,2,2018-09-26 13:00:00,2019-07-01 14:09:46,"2018-09-2019-07",-1.799,40.185,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-2_2018-09-2019-06.csv","GB-2","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-2.csv",3217,2,2018-09-26 13:00:00,2019-06-21 14:57:51,"2018-09-2019-06",-1.001,20.234,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-3_2018-09-2019-08.csv","GB-3","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-3.csv",4074,2,2018-09-26 13:00:00,2019-08-31 23:00:00,"2018-09-2019-08",-2.261,26.781,TRUE,FALSE,FALSE,FALSE,"PDT"
"MW_soil_GB-4_2018-09-2019-06.csv","GB-4","C:/Users/janne/Dropbox/Gitprojects/MeadoWatch/data/Microclimate/2019 GB/GB-4.csv",3218,2,2018-09-26 13:00:00,2019-06-21 15:04:14,"2018-09-2019-06",-2.261,22.333,TRUE,FALSE,FALSE,FALSE,"PDT"
