"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2013,10,10,21,0,0.453
2013,10,10,23,0,0.453
2013,10,11,1,0,0.453
2013,10,11,3,0,0.453
2013,10,11,5,0,0.453
2013,10,11,7,0,0.453
2013,10,11,9,0,0.453
2013,10,11,11,0,0.453
2013,10,11,13,0,0.453
2013,10,11,15,0,0.453
2013,10,11,17,0,0.453
2013,10,11,19,0,0.453
2013,10,11,21,0,0.453
2013,10,11,23,0,0.453
2013,10,12,1,0,0.453
2013,10,12,3,0,0.453
2013,10,12,5,0,0.453
2013,10,12,7,0,0.453
2013,10,12,9,0,0.453
2013,10,12,11,0,0.453
2013,10,12,13,0,0.453
2013,10,12,15,0,0.453
2013,10,12,17,0,0.453
2013,10,12,19,0,0.453
2013,10,12,21,0,0.453
2013,10,12,23,0,0.453
2013,10,13,1,0,0.453
2013,10,13,3,0,0.453
2013,10,13,5,0,0.453
2013,10,13,7,0,0.453
2013,10,13,9,0,0.453
2013,10,13,11,0,0.453
2013,10,13,13,0,0.453
2013,10,13,15,0,0.453
2013,10,13,17,0,0.453
2013,10,13,19,0,0.453
2013,10,13,21,0,0.453
2013,10,13,23,0,0.453
2013,10,14,1,0,0.453
2013,10,14,3,0,0.453
2013,10,14,5,0,0.453
2013,10,14,7,0,0.453
2013,10,14,9,0,0.453
2013,10,14,11,0,0.453
2013,10,14,13,0,0.453
2013,10,14,15,0,0.453
2013,10,14,17,0,0.453
2013,10,14,19,0,0.453
2013,10,14,21,0,0.453
2013,10,14,23,0,0.453
2013,10,15,1,0,0.453
2013,10,15,3,0,0.453
2013,10,15,5,0,0.453
2013,10,15,7,0,0.453
2013,10,15,9,0,0.453
2013,10,15,11,0,0.453
2013,10,15,13,0,0.453
2013,10,15,15,0,0.343
2013,10,15,17,0,0.343
2013,10,15,19,0,0.343
2013,10,15,21,0,0.343
2013,10,15,23,0,0.343
2013,10,16,1,0,0.343
2013,10,16,3,0,0.343
2013,10,16,5,0,0.343
2013,10,16,7,0,0.343
2013,10,16,9,0,0.343
2013,10,16,11,0,0.343
2013,10,16,13,0,0.343
2013,10,16,15,0,0.343
2013,10,16,17,0,0.343
2013,10,16,19,0,0.343
2013,10,16,21,0,0.343
2013,10,16,23,0,0.343
2013,10,17,1,0,0.343
2013,10,17,3,0,0.343
2013,10,17,5,0,0.343
2013,10,17,7,0,0.343
2013,10,17,9,0,0.343
2013,10,17,11,0,0.343
2013,10,17,13,0,0.343
2013,10,17,15,0,0.343
2013,10,17,17,0,0.343
2013,10,17,19,0,0.343
2013,10,17,21,0,0.343
2013,10,17,23,0,0.343
2013,10,18,1,0,0.343
2013,10,18,3,0,0.343
2013,10,18,5,0,0.343
2013,10,18,7,0,0.343
2013,10,18,9,0,0.343
2013,10,18,11,0,0.343
2013,10,18,13,0,0.343
2013,10,18,15,0,0.343
2013,10,18,17,0,0.343
2013,10,18,19,0,0.343
2013,10,18,21,0,0.343
2013,10,18,23,0,0.343
2013,10,19,1,0,0.343
2013,10,19,3,0,0.343
2013,10,19,5,0,0.343
2013,10,19,7,0,0.343
2013,10,19,9,0,0.343
2013,10,19,11,0,0.453
2013,10,19,13,0,0.453
2013,10,19,15,0,0.453
2013,10,19,17,0,0.343
2013,10,19,19,0,0.343
2013,10,19,21,0,0.343
2013,10,19,23,0,0.343
2013,10,20,1,0,0.343
2013,10,20,3,0,0.343
2013,10,20,5,0,0.343
2013,10,20,7,0,0.343
2013,10,20,9,0,0.343
2013,10,20,11,0,0.563
2013,10,20,13,0,0.674
2013,10,20,15,0,0.674
2013,10,20,17,0,0.453
2013,10,20,19,0,0.343
2013,10,20,21,0,0.343
2013,10,20,23,0,0.343
2013,10,21,1,0,0.343
2013,10,21,3,0,0.343
2013,10,21,5,0,0.343
2013,10,21,7,0,0.343
2013,10,21,9,0,0.453
2013,10,21,11,0,0.784
2013,10,21,13,0,1.112
2013,10,21,15,0,1.112
2013,10,21,17,0,0.674
2013,10,21,19,0,0.453
2013,10,21,21,0,0.453
2013,10,21,23,0,0.453
2013,10,22,1,0,0.343
2013,10,22,3,0,0.343
2013,10,22,5,0,0.343
2013,10,22,7,0,0.343
2013,10,22,9,0,0.453
2013,10,22,11,0,1.221
2013,10,22,13,0,1.764
2013,10,22,15,0,1.656
2013,10,22,17,0,1.003
2013,10,22,19,0,0.674
2013,10,22,21,0,0.563
2013,10,22,23,0,0.453
2013,10,23,1,0,0.453
2013,10,23,3,0,0.453
2013,10,23,5,0,0.453
2013,10,23,7,0,0.453
2013,10,23,9,0,0.674
2013,10,23,11,0,2.088
2013,10,23,13,0,3.049
2013,10,23,15,0,2.73
2013,10,23,17,0,1.764
2013,10,23,19,0,1.439
2013,10,23,21,0,1.112
2013,10,23,23,0,0.893
2013,10,24,1,0,0.674
2013,10,24,3,0,0.453
2013,10,24,5,0,0.453
2013,10,24,7,0,0.343
2013,10,24,9,0,0.343
2013,10,24,11,0,6.37
2013,10,24,13,0,13.846
2013,10,24,15,0,13.365
2013,10,24,17,0,8.282
2013,10,24,19,0,5.45
2013,10,24,21,0,3.788
2013,10,24,23,0,2.41
2013,10,25,1,0,1.656
2013,10,25,3,0,1.33
2013,10,25,5,0,1.003
2013,10,25,7,0,0.893
2013,10,25,9,0,0.893
2013,10,25,11,0,8.082
2013,10,25,13,0,13.942
2013,10,25,15,0,12.11
2013,10,25,17,0,7.381
2013,10,25,19,0,4.519
2013,10,25,21,0,2.73
2013,10,25,23,0,1.872
2013,10,26,1,0,1.33
2013,10,26,3,0,1.112
2013,10,26,5,0,0.893
