"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2013,9,25,13,0,6.978
2013,9,25,15,0,9.373
2013,9,25,17,0,7.782
2013,9,25,19,0,6.064
2013,9,25,21,0,5.244
2013,9,25,23,0,4.623
2013,9,26,1,0,3.578
2013,9,26,3,0,2.837
2013,9,26,5,0,2.303
2013,9,26,7,0,1.98
2013,9,26,9,0,1.98
2013,9,26,11,0,3.893
2013,9,26,13,0,6.877
2013,9,26,15,0,6.978
2013,9,26,17,0,5.244
2013,9,26,19,0,4.934
2013,9,26,21,0,4.311
2013,9,26,23,0,3.788
2013,9,27,1,0,2.837
2013,9,27,3,0,2.41
2013,9,27,5,0,2.41
2013,9,27,7,0,2.517
2013,9,27,9,0,2.41
2013,9,27,11,0,1.764
2013,9,27,13,0,1.872
2013,9,27,15,0,1.872
2013,9,27,17,0,2.41
2013,9,27,19,0,2.837
2013,9,27,21,0,2.943
2013,9,27,23,0,2.943
2013,9,28,1,0,3.261
2013,9,28,3,0,3.472
2013,9,28,5,0,3.683
2013,9,28,7,0,3.998
2013,9,28,9,0,4.519
2013,9,28,11,0,4.934
2013,9,28,13,0,5.244
2013,9,28,15,0,5.037
2013,9,28,17,0,5.347
2013,9,28,19,0,5.037
2013,9,28,21,0,3.049
2013,9,28,23,0,3.049
2013,9,29,1,0,2.943
2013,9,29,3,0,2.837
2013,9,29,5,0,2.73
2013,9,29,7,0,2.624
2013,9,29,9,0,2.624
2013,9,29,11,0,2.517
2013,9,29,13,0,2.517
2013,9,29,15,0,2.41
2013,9,29,17,0,2.303
2013,9,29,19,0,2.303
2013,9,29,21,0,2.195
2013,9,29,23,0,1.656
2013,9,30,1,0,1.764
2013,9,30,3,0,1.872
2013,9,30,5,0,1.872
2013,9,30,7,0,1.872
2013,9,30,9,0,1.872
2013,9,30,11,0,1.872
2013,9,30,13,0,1.872
2013,9,30,15,0,1.872
2013,9,30,17,0,1.872
2013,9,30,19,0,1.764
2013,9,30,21,0,1.764
2013,9,30,23,0,1.764
2013,10,1,1,0,1.764
2013,10,1,3,0,1.764
2013,10,1,5,0,1.764
2013,10,1,7,0,1.764
2013,10,1,9,0,1.764
2013,10,1,11,0,1.764
2013,10,1,13,0,1.764
2013,10,1,15,0,1.656
2013,10,1,17,0,1.656
2013,10,1,19,0,1.656
2013,10,1,21,0,1.656
2013,10,1,23,0,1.656
2013,10,2,1,0,1.656
2013,10,2,3,0,1.656
2013,10,2,5,0,1.656
2013,10,2,7,0,1.656
2013,10,2,9,0,1.548
2013,10,2,11,0,1.656
2013,10,2,13,0,1.548
2013,10,2,15,0,1.548
2013,10,2,17,0,1.548
2013,10,2,19,0,1.548
2013,10,2,21,0,1.548
2013,10,2,23,0,1.548
2013,10,3,1,0,1.548
2013,10,3,3,0,1.548
2013,10,3,5,0,1.548
2013,10,3,7,0,1.548
2013,10,3,9,0,1.548
2013,10,3,11,0,1.548
2013,10,3,13,0,1.548
2013,10,3,15,0,1.548
2013,10,3,17,0,1.548
2013,10,3,19,0,1.548
2013,10,3,21,0,1.548
2013,10,3,23,0,1.548
2013,10,4,1,0,1.439
2013,10,4,3,0,1.439
2013,10,4,5,0,1.439
2013,10,4,7,0,1.439
2013,10,4,9,0,1.439
2013,10,4,11,0,1.439
2013,10,4,13,0,1.439
2013,10,4,15,0,1.439
2013,10,4,17,0,1.439
2013,10,4,19,0,1.439
2013,10,4,21,0,1.439
2013,10,4,23,0,1.439
2013,10,5,1,0,1.439
2013,10,5,3,0,1.439
2013,10,5,5,0,1.439
2013,10,5,7,0,1.439
2013,10,5,9,0,1.439
2013,10,5,11,0,1.439
2013,10,5,13,0,1.439
2013,10,5,15,0,1.439
2013,10,5,17,0,1.439
2013,10,5,19,0,1.439
2013,10,5,21,0,1.439
