"YEAR","MONTH","DAY","HOUR","MIN","TEMP"
2018,10,11,21,0,38.061
2018,10,11,23,0,36.338
2018,10,12,1,0,36.338
2018,10,12,3,0,35.37
2018,10,12,5,0,34.981
2018,10,12,7,0,35.37
2018,10,12,9,0,36.723
2018,10,12,11,0,56.404
2018,10,12,13,0,63.282
2018,10,12,15,0,56.404
2018,10,12,17,0,47.088
2018,10,12,19,0,41.439
2018,10,12,21,0,38.061
2018,10,12,23,0,36.531
2018,10,13,1,0,35.37
2018,10,13,3,0,34.59
2018,10,13,5,0,34.002
2018,10,13,7,0,33.411
2018,10,13,9,0,33.013
2018,10,13,11,0,47.982
2018,10,13,13,0,60.024
2018,10,13,15,0,53.973
2018,10,13,17,0,44.56
2018,10,13,19,0,39.384
2018,10,13,21,0,36.723
2018,10,13,23,0,35.37
2018,10,14,1,0,34.198
2018,10,14,3,0,33.411
2018,10,14,5,0,32.815
2018,10,14,7,0,32.218
2018,10,14,9,0,31.816
2018,10,14,11,0,39.007
2018,10,14,13,0,57.096
2018,10,14,15,0,52.401
2018,10,14,17,0,43.466
2018,10,14,19,0,39.007
2018,10,14,21,0,36.914
2018,10,14,23,0,35.758
2018,10,15,1,0,35.175
2018,10,15,3,0,34.394
2018,10,15,5,0,34.394
2018,10,15,7,0,34.002
2018,10,15,9,0,34.002
2018,10,15,11,0,54.147
2018,10,15,13,0,64.652
2018,10,15,15,0,58.82
2018,10,15,17,0,49.05
2018,10,15,19,0,44.195
2018,10,15,21,0,40.881
2018,10,15,23,0,39.007
2018,10,16,1,0,37.488
2018,10,16,3,0,36.338
2018,10,16,5,0,35.175
2018,10,16,7,0,34.59
2018,10,16,9,0,34.394
2018,10,16,11,0,53.623
2018,10,16,13,0,63.797
2018,10,16,15,0,58.476
2018,10,16,17,0,48.695
2018,10,16,19,0,43.466
2018,10,16,21,0,40.134
2018,10,16,23,0,38.061
2018,10,17,1,0,36.531
2018,10,17,3,0,35.37
2018,10,17,5,0,34.59
2018,10,17,7,0,34.394
2018,10,17,9,0,34.198
2018,10,17,11,0,52.925
2018,10,17,13,0,64.31
2018,10,17,15,0,59.337
2018,10,17,17,0,49.228
2018,10,17,19,0,44.195
2018,10,17,21,0,40.696
2018,10,17,23,0,38.44
2018,10,18,1,0,36.914
2018,10,18,3,0,35.564
2018,10,18,5,0,34.786
2018,10,18,7,0,34.394
2018,10,18,9,0,36.145
2018,10,18,11,0,51.523
2018,10,18,13,0,60.024
2018,10,18,15,0,57.268
2018,10,18,17,0,48.871
2018,10,18,19,0,44.013
2018,10,18,21,0,40.881
2018,10,18,23,0,38.629
2018,10,19,1,0,37.488
2018,10,19,3,0,36.531
2018,10,19,5,0,35.758
2018,10,19,7,0,35.175
2018,10,19,9,0,35.564
2018,10,19,11,0,53.1
2018,10,19,13,0,65.338
2018,10,19,15,0,60.024
2018,10,19,17,0,49.937
2018,10,19,19,0,45.104
2018,10,19,21,0,41.994
2018,10,19,23,0,40.134
2018,10,20,1,0,38.818
2018,10,20,3,0,37.679
2018,10,20,5,0,36.723
2018,10,20,7,0,35.951
2018,10,20,9,0,36.145
2018,10,20,11,0,53.1
2018,10,20,13,0,65.338
2018,10,20,15,0,60.195
2018,10,20,17,0,50.113
2018,10,20,19,0,45.104
2018,10,20,21,0,41.994
2018,10,20,23,0,39.947
2018,10,21,1,0,38.44
2018,10,21,3,0,37.297
2018,10,21,5,0,36.723
2018,10,21,7,0,35.951
2018,10,21,9,0,35.951
2018,10,21,11,0,52.225
2018,10,21,13,0,64.996
2018,10,21,15,0,60.368
2018,10,21,17,0,49.404
2018,10,21,19,0,44.56
2018,10,21,21,0,41.625
2018,10,21,23,0,39.76
2018,10,22,1,0,38.44
2018,10,22,3,0,37.297
2018,10,22,5,0,36.338
2018,10,22,7,0,35.758
2018,10,22,9,0,35.951
2018,10,22,11,0,53.1
2018,10,22,13,0,66.708
2018,10,22,15,0,59.164
2018,10,22,17,0,49.404
2018,10,22,19,0,44.56
2018,10,22,21,0,41.625
2018,10,22,23,0,39.573
2018,10,23,1,0,37.87
2018,10,23,3,0,36.723
2018,10,23,5,0,36.145
2018,10,23,7,0,35.37
2018,10,23,9,0,35.951
2018,10,23,11,0,50.113
2018,10,23,13,0,60.539
2018,10,23,15,0,54.322
